idx,type,question,answer_baseline,score_baseline,answer_standard,score_standard,corrected_standard,answer_agentic_graph,score_agentic_graph,corrected_agentic_graph
0,factual,Qual é o artigo que trata da possibilidade de adjudicação quando a negociação de melhor condição frustra-se?,"Artigo 67, parágrafo 1º, da Lei 8666/93.",2,,0,False,,0,False
1,factual,"Qual o número do ato que corresponde à transferência de 10.000,00 para a TRANSF.ALDIR BLANC LEI N?","O ato que corresponde à transferência de 10.000,00 para a TRANSF.ALDIR BLANC LEI N?",0,1719.60.0.0.00,0,False,1719.60.0.0.00,0,False
2,factual,Qual é a data de assinatura do documento?,20 de abril de 2025.,0,,0,False,,0,False
3,factual,Qual é o nome da divisão responsável pela gestão de imóveis na Diretoria de Investimentos?,A divisão responsável pela gestão de imóveis na Diretoria de Investimentos é a Divisão de Gestão de Bens.,2,,5,False,,5,False
4,factual,Qual é o número da portaria que institui a Comissão Especial para discutir a resolução normativa que regula a oferta da Educação Infantil?,"A portaria que institui a Comissão Especial é a n° 1.035, de 10 de janeiro de 2025.",0,,0,False,,0,False
5,factual,Qual o nome da pessoa nomeada para o cargo de Chefe do Setor Geral de Controle e Distribuicao?,Jose Wilson de Sousa,0,FRANCISCO JOSE RIBEIRO,5,False,FRANCISCO JOSE RIBEIRO,5,False
6,factual,Qual foi o dia da realização da audiência pública em Porto Alegre do Piauí?,O dia da realização da audiência pública foi o dia 10 de junho de 2025.,0,,0,False,,0,False
7,factual,Qual o CNPJ da empresa CONSULTORIA CONTABIL LTDA?,01.503.333/0001-30,0,,0,False,,0,False
8,factual,"Qual é o artigo da Lei nº 14.133, de 2021, mencionado no trecho?","O artigo 1º, inciso II, da Lei nº 14.133, de 2021, é mencionado no trecho.",2,,5,False,,5,False
9,factual,Qual o número do ato da manutenção da Secretaria de Cultura?,O número do ato da manutenção da Secretaria de Cultura é 001/2025.,0,,0,False,1043,0,False
10,factual,Qual é o código da categoria econômica relacionada às despesas correntes de pessoal e encargos sociais?,42.21,0,,0,False,,0,False
11,factual,Qual é o nome do Presidente do Instituto de Previdência dos Servidores do Município de Teresina - IPMT?,O nome do Presidente do IPMT é José Wilson de Oliveira.,0,José João de Magalhães Braga Júnior.,5,False,,0,False
12,factual,Qual o valor da remuneração OE para o cargo 1.621.0?,"O valor da remuneração OE para o cargo 1.621.0 é de R$ 1.621,00.",0,,0,False,,0,False
13,factual,"Qual o valor da despesa com 'CONSTRUÇÃO, AMPLIAÇÃO E REFORMA DA EDUCAÇÃO' no exercício de 2026?","O valor da despesa com 'CONSTRUÇÃO, AMPLIAÇÃO E REFORMA DA EDUCAÇÃO' no exercício de 2026 é de 100.000,00.",0,,0,False,,0,False
14,factual,Qual o valor total do item 2 do trecho?,"O valor total do item 2 do trecho é de R$ 1.000,00.",0,,0,False,,0,False
15,factual,Qual é o valor da subfunção 271 Previdência IIaica em 2028?,"O valor da subfunção 271 Previdência IIaica em 2028 é de 1.000.000,00.",0,,0,False,,0,False
16,factual,Qual o CNPJ da PM de Boqueirão do Piauí?,01.503.333/0001-00,0,,0,False,,0,False
17,factual,Qual o valor final do fornecedor ADRIANO R SOARES LTOA no bloco 0005?,"R$ 1.000,00",0,,0,False,,0,False
18,multihop,Qual é a secretaria responsável pela gestão de finanças do Fundo Municipal de Saúde?,A secretaria responsável pela gestão de finanças do Fundo Municipal de Saúde é a Secretaria Municipal de Finanças.,5,,5,False,,5,False
19,multihop,Qual documento foi aberto pelo secretário municipal de planejamento e coordenação após a delegação recebida pelo prefeito municipal de Teresina?,O documento foi aberto pelo secretário municipal de planejamento e coordenação após a delegação recebida pelo prefeito municipal de Teresina.,0,,0,False,,0,False
20,multihop,Qual é a secretaria municipal de educação que recebeu a comunicação sobre a portaria emitida pelo Pajeu do Piauí?,A secretaria municipal de educação que recebeu a comunicação sobre a portaria emitida pelo Pajeu do Piauí é a Secretaria Municipal de Educação de Pajeú do Piauí.,5,,0,False,,0,False
