run,id,model,kind,tipo_documento,arquivo,target,answer,exact_match,target_ppl
1,1,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,Auxiliar de Atividade Educacional 1,"A servidora Maria Alice de Carvalho Serio foi contratada para atuar como assistente administrativa,",0,22.4055
1,2,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,"R$ 61.600,00","O valor total estimado para a prestação de serviços de dedetização, conforme o Aviso de Contratação",0,5.0416
1,3,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,"R$ 108.675,60","R$ 1.000,00
O valor da despesa mínima a ser aplicada",0,7.2619
1,4,base,pr,,803ca9056a85630b1d63e294b1a84005.txt,Chefe de Departamento de Assistência Farmacêutica,"A Secretaria Municipal de Saúde de Brasileira, através da Portaria nº 185/202",0,6.7177
1,5,base,pr,,805de53b2723e5fb733545e1ea2b0540.txt,35,00000000000000000000000,0,161.5904
1,6,base,pr,,7f1acefb6915072ce9b7e488ef1e9655.txt,GT ENGENHARIA E PROJETOS LTDA.,"A empresa declarada apta a contratar com a Administração Pública é a ""Empresa de Serviços Púb",1,9.5309
1,7,base,pr,,8ac5b4cbc28019e2c1b298f10e441f1c.txt,Edivan Pereira de Miranda,"A cidadã Maria do Carmo de Souza, de 50 anos, foi nomeada para exercer",0,117.3947
1,8,base,pr,,8af8d1f6f5d1cbca33f70d8ce819b317.txt,Comarca de Esperantina,"O Foro da Comarca de Joaquim Pires, pois o contrato foi assinado pela Prefe",0,14.8375
1,9,base,pr,,8af058a6d855085dd09ba40dba41fb02.txt,Portaria N 98/2025,00000000000000000000000,0,29.1309
1,10,base,pr,,8ed36549e4eb15741c12227323135ad0.txt,"2.341,00","R$ 1.000,00
A Ata de Homologação do Pregão Ele",0,9.4161
1,11,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,40,"40 horas semanais
A Prefeitura de Simões, por meio da Secretaria de Administra",1,103.0872
1,12,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,TARCISIO SOUSA E SILVA SOCIEDADE INDIVIDUAL DE ADVOCACIA,"A sociedade individual de advocacia contratada por inexigibilidade é a ""Sociedade Individual de Advogados",1,7.297
1,13,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,06.554.380/0001-92,"00.000.000/0001-00
O número completo do",0,5.0884
1,14,base,pr,,803ca9056a85630b1d63e294b1a84005.txt,Francisco Savio Canuto Carvalho,O Chefe de Departamento de Recursos Humanos Municipal de Saúde foi nomeado pelo Município de Brasile,1,50.3188
1,15,base,pr,,805de53b2723e5fb733545e1ea2b0540.txt,"R$ 517.927,50",O valor total orçado para o Pregão Eletrônico nº 009/202,0,7.9174
1,16,base,pr,,7f1acefb6915072ce9b7e488ef1e9655.txt,90 (noventa) dias,"O prazo de vigência do contrato será de 12 (doze) meses, contados a partir da",0,6.2661
1,17,base,pr,,8ac5b4cbc28019e2c1b298f10e441f1c.txt,GILBERTO SARAIVA RIBEIRO,O nomeado para exercer o cargo em comissão de Assessor Técnico vinculado ao Gabin,1,19.7844
1,18,base,pr,,8af8d1f6f5d1cbca33f70d8ce819b317.txt,VISITADOR SOCIAL,"A atribuição específica/cargo a contratada exercerá será a de Assistente de Controle de Qualidade,",1,1977.3952
1,19,base,pr,,8af058a6d855085dd09ba40dba41fb02.txt,Portaria N 95/2025,00000000000000000000000,0,11.787
1,20,base,pr,,8ed36549e4eb15741c12227323135ad0.txt,TABULEIRO,"A marca registrada e o modelo listados para o ""Item 3"" (Algema mola traseira",0,1543.8769
1,21,base,pr,,daea27a52f683df99fdc0c95dd64c332.txt,"118.000,00","R$ 1.000,00
O valor exato da Dotação Atualizada estabe",0,5.7469
1,22,base,pr,,dd9eb5043eb40cbef43ae875d2d31456.txt,NEVES E NEVES PERITOS ASSOCIADOS LTDA,"A empresa contratada foi a empresa ""A. S. Contabilidade e Assessoria Contábil Ltda"".",1,47.4186
1,23,base,pr,,f5c1b76d1b4bfa063c65bedda6feabfc.txt,DEUSA DE ARAUJO VIANA,A cidadã que foi nomeada para exercer a função de Secretária das Relações Institucionais e Soc,0,38.6339
1,24,base,pr,,f38dfd4a502822b4166109c8996caf37.txt,30.000 BTUs,"10000 BTU
Resposta: 12000 BTU
Resposta:",0,5.2899
1,25,base,pr,,f888826b761a5c6cde366bb97c8666c8.txt,"MARCOS ALESSANDRO ARAUJO PEREIRA-ME ""CLINICA ODONTOLOGICA ARTE EM DENTES""","A empresa contratada representada por Marcos Alessandro Araujo Pereira é a ""Empresa de Serviços de",0,10.8797
1,26,base,pr,,c9ee3969a1ead10001dc4a869bf0ce6b.txt,"R$ 15.709,00",O valor fixado para cada uma das 12 parcelas mensais e sucessivas a serem pagas à,0,6.6147
1,27,base,pr,,d73d4af25f5364dd8c8e04ce8051edaa.txt,Rita de Cassia Leal Barbosa,"O primeiro nome listado como classificado sob a atividade específica de Linguagem é ""Lídia Maria de Oliveira",1,32.1484
1,28,base,pr,,d81fd8fa0bc280cfedf50ecf41306916.txt,0,"R$ 1.000.000,00
O valor exato listado como ins",1,1457.7854
1,29,base,pr,,d3422c832f17f64db691db01ba9c7836.txt,ISABELA MAGNAGNAGNO,"A Prefeitura de Curimatá, por meio da Secretaria Municipal de Administração, contratou a Eng",0,187.8107
1,30,base,pr,,d3422c832f17f64db691db01ba9c7836.txt,Luis Pereira de Sousa,O nome completo do representante legal que assina como contratado em nome da empresa Top Pisos Serviços e,0,39.8353
1,31,base,pr,,f9038348cefaf32f188e6ce72a544257.txt,"R$ 108.276,65",O valor total exato do contrato firmado com a empresa Castro e Dias Engenharia Ltda - ME é de,0,7.4087
1,32,base,pr,,fb15a92c9132c8fb56f9dde2f3dfc304.txt,"R$ 238.675,00","O valor total exato homologado para o contratado é de R$ 1.000,0",0,5.7624
1,33,base,pr,,2aeeceb1f91346ca919cd68ad2929f81.txt,Sra. CLAUDETE XIMENES CAVALCANTE,A cidadã que foi nomeada no Artigo 1º da Portaria Conjunta nº 386,0,39.3254
1,34,base,pr,,4a3458acd0f445b9ba3f8bbd03eda0e5.txt,Nívia Escórcio Alves,"A professora Maria de Lourdes de Oliveira, que é formada em Pedagogia e tem experiência na área",0,113.6964
1,35,base,pr,,5aebc8497b64cdb2b9257b8b0b43ac6f.txt,"R$ 313.150,00",O valor total exato registrado para o fornecimento parcelado de gêneros alimentícios pela Comercial,0,5.5373
1,36,base,pr,,5bed9f55b41986c3b98e40fcbbc20f65.txt,Médico Clínico ESF,"A servidora Maria Bethania Luz Rio Lima é efetivada na função de Assistente Social, com o",1,47.4322
1,37,base,pr,,06ade48d34f99bb011c76e5424b2a0d3.txt,"3.700.956,93","O valor exato computado como ""VALOR APLICADO EM ASPS (XVI)"" na coluna de",0,11.2759
1,38,base,pr,,6a177c144e75236423276ed544a6a0de.txt,"PROFESSOR CELETISTA DE MATEMÁTICA, 20H","O contrato de prestação de serviços por tempo determinado da Secretaria Municipal de Educação de Fronteiras, qual é",0,11.0112
1,39,base,pr,,6d471ec88489d0d28df87fae3d6a3722.txt,UNIDADE ESCOLAR DESDETH VITORIO DIAS,A Unidade Escolar que receberá a execução das obras de reforma pela contratada 19 Eng,1,60.5488
1,40,base,pr,,6e6982fb7279cf873f616f4db90b9a4f.txt,"1.025.000,00","R$ 1.000.000,00
O valor exato listado como Pre",0,4.5402
1,41,base,pr,,026c9c23526d7a16f2973d7210a4bbef.txt,Rafa e Pipo,A banda nacional de renome contratada para se apresentar no show artístico do evento Urufolia 20,0,199.3119
1,42,base,pr,,38f9c3acaaec0fc7e9541a44ca1d3130.txt,00081.003581/2025-83,00000000000000000000000,0,10.1509
1,43,base,pr,,100d12631e25840d6777ae6a9fb5c6bb.txt,"23.078,00","R$ 1.000.000,00
A resposta acima é um resumo",0,10.3763
1,44,base,pr,,661fbac225c8a913a6909b7a91488565.txt,LUMES CASA DO ELETRICISTA LTDA,"A empresa vencedora é a ""SOLARIS SOLUÇÕES ECONÔMICAS LTDA",0,39.6163
1,45,base,pr,,20112c1082147e26880fd844458a9c5f.txt,"130.000,00","R$ 1.000.000,00
A) R$ 1.0",0,4.5775
1,46,base,pr,,52711fc7bbd56ce4996779ef4172bdd7.txt,4° Nível,"A servidora Eliene Pires de Sá, que atua na Secretaria de Saúde do Município",0,39.6229
1,47,base,pr,,52711fc7bbd56ce4996779ef4172bdd7.txt,"R$ 49,57","R$ 1,00
A) R$ 1,00
B) R$ 1",0,10.3638
1,48,base,pr,,397240e23e6881a9a6f404da1db30ca5.txt,JULIANA SALES MACHADO,"A Prefeitura de Batalha, através da Secretaria de Administração, homologou o certame",0,30.0979
1,49,base,pr,,2313253e36f478866f39748183d0d492.txt,"136.012,80","1.200.000,00
A) 1.200.0",0,11.6607
1,50,base,pr,,0903278130689c92b572701d6f985077.txt,EWERTON GUSTAVO PEREIRA SILVA,O cidadão nomeado para ocupar o cargo comissionado de Diretor Geral é o Sr. José,1,44.3103
2,1,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,Auxiliar de Atividade Educacional 1,"A servidora Maria Alice de Carvalho Serio foi contratada para atuar como assistente administrativa,",0,22.4055
2,2,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,"R$ 61.600,00","O valor total estimado para a prestação de serviços de dedetização, conforme o Aviso de Contratação",0,5.0416
2,3,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,"R$ 108.675,60","R$ 1.000,00
O valor da despesa mínima a ser aplicada",0,7.2619
2,4,base,pr,,803ca9056a85630b1d63e294b1a84005.txt,Chefe de Departamento de Assistência Farmacêutica,"A Secretaria Municipal de Saúde de Brasileira, através da Portaria nº 185/202",0,6.7177
2,5,base,pr,,805de53b2723e5fb733545e1ea2b0540.txt,35,00000000000000000000000,0,161.5904
2,6,base,pr,,7f1acefb6915072ce9b7e488ef1e9655.txt,GT ENGENHARIA E PROJETOS LTDA.,"A empresa declarada apta a contratar com a Administração Pública é a ""Empresa de Serviços Púb",1,9.5309
2,7,base,pr,,8ac5b4cbc28019e2c1b298f10e441f1c.txt,Edivan Pereira de Miranda,"A cidadã Maria do Carmo de Souza, de 50 anos, foi nomeada para exercer",0,117.3947
2,8,base,pr,,8af8d1f6f5d1cbca33f70d8ce819b317.txt,Comarca de Esperantina,"O Foro da Comarca de Joaquim Pires, pois o contrato foi assinado pela Prefe",0,14.8375
2,9,base,pr,,8af058a6d855085dd09ba40dba41fb02.txt,Portaria N 98/2025,00000000000000000000000,0,29.1309
2,10,base,pr,,8ed36549e4eb15741c12227323135ad0.txt,"2.341,00","R$ 1.000,00
A Ata de Homologação do Pregão Ele",0,9.4161
2,11,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,40,"40 horas semanais
A Prefeitura de Simões, por meio da Secretaria de Administra",1,103.0872
2,12,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,TARCISIO SOUSA E SILVA SOCIEDADE INDIVIDUAL DE ADVOCACIA,"A sociedade individual de advocacia contratada por inexigibilidade é a ""Sociedade Individual de Advogados",1,7.297
2,13,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,06.554.380/0001-92,"00.000.000/0001-00
O número completo do",0,5.0884
2,14,base,pr,,803ca9056a85630b1d63e294b1a84005.txt,Francisco Savio Canuto Carvalho,O Chefe de Departamento de Recursos Humanos Municipal de Saúde foi nomeado pelo Município de Brasile,1,50.3188
2,15,base,pr,,805de53b2723e5fb733545e1ea2b0540.txt,"R$ 517.927,50",O valor total orçado para o Pregão Eletrônico nº 009/202,0,7.9174
2,16,base,pr,,7f1acefb6915072ce9b7e488ef1e9655.txt,90 (noventa) dias,"O prazo de vigência do contrato será de 12 (doze) meses, contados a partir da",0,6.2661
2,17,base,pr,,8ac5b4cbc28019e2c1b298f10e441f1c.txt,GILBERTO SARAIVA RIBEIRO,O nomeado para exercer o cargo em comissão de Assessor Técnico vinculado ao Gabin,1,19.7844
2,18,base,pr,,8af8d1f6f5d1cbca33f70d8ce819b317.txt,VISITADOR SOCIAL,"A atribuição específica/cargo a contratada exercerá será a de Assistente de Controle de Qualidade,",1,1977.3952
2,19,base,pr,,8af058a6d855085dd09ba40dba41fb02.txt,Portaria N 95/2025,00000000000000000000000,0,11.787
2,20,base,pr,,8ed36549e4eb15741c12227323135ad0.txt,TABULEIRO,"A marca registrada e o modelo listados para o ""Item 3"" (Algema mola traseira",0,1543.8769
2,21,base,pr,,daea27a52f683df99fdc0c95dd64c332.txt,"118.000,00","R$ 1.000,00
O valor exato da Dotação Atualizada estabe",0,5.7469
2,22,base,pr,,dd9eb5043eb40cbef43ae875d2d31456.txt,NEVES E NEVES PERITOS ASSOCIADOS LTDA,"A empresa contratada foi a empresa ""A. S. Contabilidade e Assessoria Contábil Ltda"".",1,47.4186
2,23,base,pr,,f5c1b76d1b4bfa063c65bedda6feabfc.txt,DEUSA DE ARAUJO VIANA,A cidadã que foi nomeada para exercer a função de Secretária das Relações Institucionais e Soc,0,38.6339
2,24,base,pr,,f38dfd4a502822b4166109c8996caf37.txt,30.000 BTUs,"10000 BTU
Resposta: 12000 BTU
Resposta:",0,5.2899
2,25,base,pr,,f888826b761a5c6cde366bb97c8666c8.txt,"MARCOS ALESSANDRO ARAUJO PEREIRA-ME ""CLINICA ODONTOLOGICA ARTE EM DENTES""","A empresa contratada representada por Marcos Alessandro Araujo Pereira é a ""Empresa de Serviços de",0,10.8797
2,26,base,pr,,c9ee3969a1ead10001dc4a869bf0ce6b.txt,"R$ 15.709,00",O valor fixado para cada uma das 12 parcelas mensais e sucessivas a serem pagas à,0,6.6147
2,27,base,pr,,d73d4af25f5364dd8c8e04ce8051edaa.txt,Rita de Cassia Leal Barbosa,"O primeiro nome listado como classificado sob a atividade específica de Linguagem é ""Lídia Maria de Oliveira",1,32.1484
