run,id,model,kind,tipo_documento,arquivo,target,answer,exact_match,target_ppl
1,1,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,Auxiliar de Atividade Educacional 1,"<b>Assistente Social</b>

A servidora Maria Alice de Carvalho Serio foi contratada para exercer a função de",1,33.4856
1,2,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,"R$ 61.600,00","R$ 1.000,00 (mil reais)

A Prefeitura de Paulistana, por",0,4.2043
1,3,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,"R$ 108.675,60","1.000.000,00 (um milhão de reais)
Apresentação",0,7.8203
1,4,base,pr,,803ca9056a85630b1d63e294b1a84005.txt,Chefe de Departamento de Assistência Farmacêutica,"<b>Assistente Social</b>

A Secretaria Municipal de Saúde de Brasileira, através da Portaria nº 185",0,4.6711
1,5,base,pr,,805de53b2723e5fb733545e1ea2b0540.txt,35,10000000000000000000000,0,205.0846
1,6,base,pr,,7f1acefb6915072ce9b7e488ef1e9655.txt,GT ENGENHARIA E PROJETOS LTDA.,"<b>SÃO PAULO CONSTRUÇÕES E SERVIÇOS LTDA</b>

No Termo de Ratificação",1,14.122
1,7,base,pr,,8ac5b4cbc28019e2c1b298f10e441f1c.txt,Edivan Pereira de Miranda,"<b>Dr. José Carlos de Oliveira</b>

<b>Acesse a resposta</b>

<b>Acesse a resposta</b>",0,81.7184
1,8,base,pr,,8af8d1f6f5d1cbca33f70d8ce819b317.txt,Comarca de Esperantina,O foro competente para dirimir as questões oriundas do Contrato de Prestação de Serviços em Caráter Temporário ass,0,72.1006
1,9,base,pr,,8af058a6d855085dd09ba40dba41fb02.txt,Portaria N 98/2025,10000000000000000000000,0,17.3339
1,10,base,pr,,8ed36549e4eb15741c12227323135ad0.txt,"2.341,00","R$ 1.100,00 (Um mil e cem reais)
Ata de Homolog",0,12.0337
1,11,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,40,"40 horas semanais.

A Prefeitura de Simões, por meio da Secretaria Municipal de Educação, está contrat",1,115.2388
1,12,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,TARCISIO SOUSA E SILVA SOCIEDADE INDIVIDUAL DE ADVOCACIA,"<b>JOSÉ CARLOS DE OLIVEIRA</b>

No Extrato de Contrato nº 022",0,7.111
1,13,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,06.554.380/0001-92,"00.000.000.000-00
O CNPJ da entidade",0,5.5184
