idx,type,question,answer_baseline,score_baseline,answer_standard,score_standard,corrected_standard
0,factual,Qual é o valor total das receitas de capital operações de crédito mercado interno?,"A pergunta está mal formulada e carece de contexto suficiente para uma resposta precisa. Para determinar o valor total das receitas de capital operações de crédito mercado interno, seria necessário especificar o período, a instituição financeira, o país ou outro critério relevante. Recomenda-se reformular a pergunta com mais clareza.",5,"O valor total das receitas de capital operações de crédito mercado interno é de R$ 820.000,00.",0,False
1,factual,Qual o valor da dotação inicial para 'OUTRAS DESPESAS CORRENTES'?,"A dotação inicial para ""OUTRAS DESPESAS CORRENTES"" varia conforme o orçamento anual de cada entidade ou governo, e não há um valor único fixo. Para obter o valor exato, é necessário consultar o orçamento público específico de interesse.",0,"O valor da dotação inicial para ""OUTRAS DESPESAS CORRENTES"" é de R$ 200.000,00.",0,False
2,factual,Qual o valor da despesa com 'OBRAS E INSTALAÇÕES' no código 4.4.90.51?,"A despesa com ""OBRAS E INSTALAÇÕES"" no código 4.4.90.51 refere-se à execução de obras e instalações de infraestrutura, como pavimentação, drenagem, iluminação pública, etc. O valor exato depende do orçamento específico de cada entidade e ano fiscal. Para obter o valor preciso, consulte o orçamento anual da respectiva entidade pública.",0,"Resposta: O valor da despesa com 'OBRAS E INSTALAÇÕES' no código 4.4.90.51 é de R$ 35.500,00.",0,False
3,factual,Qual o nome da pessoa nomeada para o cargo de Chefe da Divisão de Arrecadação e Tributos Municipais?,"O nome da pessoa nomeada para o cargo de Chefe da Divisão de Arrecadação e Tributos Municipais não foi especificado na pergunta. Para uma resposta precisa, seria necessário mais contexto ou informações sobre a localidade ou órgão envolvido.",0,VITORIA MARIA ALENCAR VOGADO DE SOUSA,5,False
4,factual,Qual o valor total do contrato administrativo nº 0228.01/2025?,"O valor total do contrato administrativo nº 0228.01/2025 é de R$ 1.500.000,00 (um milhão e quinhentos mil reais).",0,Não há informacao suficiente.,2,False
5,factual,Qual o valor total do contrato mencionado no trecho?,"Para responder à pergunta, é necessário que o trecho em questão seja fornecido. Sem o contexto adequado, não é possível determinar o valor total do contrato mencionado. Por favor, forneça o trecho ou mais detalhes sobre o contrato.",5,"O valor total do contrato mencionado no trecho é R$ 217.500,00.",0,False
6,factual,Qual o valor do item 4. 4. 90. 52 - Equipamentos Material Permanente?,"O valor do item ""Equipamentos Material Permanente"" não foi especificado na pergunta. Para fornecer uma resposta precisa, é necessário que o valor seja informado ou consultado em um documento ou lista de preços relevante.",0,"O valor do item 4. 4. 90. 52 - Equipamentos e Material Permanente é de 690.000,00.",0,False
7,factual,Qual o nome do titular da secretaria municipal de educação mencionada no trecho?,O nome do titular da secretaria municipal de educação mencionada no trecho não foi fornecido.,2,Não há informações suficientes para responder à pergunta.,2,False
8,factual,Qual o valor total das OUTRAS RESTITUIÇÕES?,"Para fornecer o valor total das ""OUTRAS RESTITUIÇÕES"", é necessário acesso a dados específicos, como relatórios financeiros, documentos oficiais ou bases de dados relevantes. Sem informações adicionais, não é possível determinar esse valor.",0,Não há informacao suficiente.,2,False
9,factual,Qual é a responsabilidade do contador em relação ao fechamento contábil?,"O contador é responsável por garantir que o fechamento contábil seja realizado com precisão, seguindo as normas contábeis e legais vigentes. Isso inclui a revisão e a confirmação das movimentações contábeis, a preparação das demonstrações financeiras e a garantia da integridade e da correta apresentação dos dados contábeis.",3,"A responsabilidade do contador é coordenar, orientar e controlar as atividades do IPMT, incluindo as áreas de controle financeiro, contábil e orçamentário, além de executar e controlar as receitas e despesas do IPMT, conforme as orientações do Diretor Administrativo e Financeiro e as diretrizes estabelecidas pelo Conselho de Administração.",0,False
10,factual,Qual o valor total do coquetel incluído no item 1?,"O valor total do coquetel incluído no item 1 é R$ 12,00.",0,"O valor total do coquetel incluído no item 1 é R$ 127.800,00.",0,False
11,factual,Qual o valor total do Fundo Municipal de Assistência Social mencionado no trecho?,"O valor total do Fundo Municipal de Assistência Social mencionado no trecho é de R$ 1.200.000,00.",0,"O valor total do Fundo Municipal de Assistência Social mencionado no trecho é de R$ 1.170.500,00.",0,False
12,factual,Qual é a duração máxima dos contratos de concessão de veiculação de anúncios?,"A duração máxima dos contratos de concessão de veiculação de anúncios varia conforme o tipo de veículo e as normas reguladoras aplicáveis. No Brasil, por exemplo, para veículos de comunicação, a duração máxima geralmente é de 36 meses, conforme previsto na Lei nº 13.461/2017.",0,A duração máxima dos contratos de concessão de veiculação de anúncios é de até doze meses.,5,False
13,factual,Qual é o valor total estimado para a ação 2247 no período de 2026 a 2029?,"Não há informações disponíveis para fornecer um valor total estimado para a ação 2247 no período de 2026 a 2029. A previsão de preços de ações é incerta e depende de diversos fatores econômicos, setoriais e de mercado. Recomenda-se consultar análise de especialistas ou plataformas financeiras confiáveis para avaliações atualizadas.",3,Não há informacao suficiente.,5,False
14,factual,Qual o valor total do orçamento programado para o exercício de 2026?,"O valor total do orçamento programado para o exercício de 2026 é de R$ 6,1 trilhões.",0,"O valor total do orçamento programado para o exercício de 2026 é de R$ 37.950.000,00.",0,False
15,factual,Qual o valor total das despesas com 'OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURIDICA' no trecho?,"Para responder à pergunta, é necessário ter acesso ao trecho específico em questão, pois o valor total das despesas com ""OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURIDICA"" depende dos dados apresentados nesse trecho. Sem essa informação, não é possível fornecer um valor exato.",0,"Resposta: 200.000,00",0,False
16,factual,Qual o valor da contribuição do serviço público civil no primeiro registro?,"A contribuição do serviço público civil no primeiro registro é de R$ 12,00.",0,Não há informação suficiente para responder à pergunta.,5,False
17,factual,Qual o valor a ser pago pelo CONTRATANTE ao CONTRATADO?,"O valor a ser pago pelo CONTRATANTE ao CONTRATADO é definido no contrato, geralmente denominado ""valor da obra"" ou ""valor total do contrato"", e deve ser especificado no termo de contrato ou na proposta apresentada pelo CONTRATADO.",0,"O valor a ser pago pelo CONTRATANTE ao CONTRATADO é de R$ 217.500,00.",0,False
18,factual,Qual o valor do contrato nº 133.74/2025?,"O valor do contrato nº 133.74/2025 não foi fornecido no contexto disponível. Para obter essa informação, é necessário consultar o sistema de contratos ou o arquivo correspondente ao documento.",2,Não há informação suficiente.,2,False
19,factual,Qual o valor total das transferências de recursos mencionadas na linha 'TRANSF.RECURSOS'?,"O valor total das transferências de recursos mencionadas na linha 'TRANSF.RECURSOS' é de 1.200.000,00.",0,"O valor total das transferências de recursos mencionadas na linha ""TRANSF.RECURSOS"" é de 2.150.000,00.",0,False
20,factual,Qual o número do ato referente a ANA NEIDE IV'IC; t.&NTOS?,"A informação solicitada não está clara ou completa. Por favor, forneça mais detalhes ou contexto para que eu possa ajudar de forma precisa.",0,Não há informacao suficiente.,2,False
21,factual,Qual o valor do item com o código 1.550.01 na categoria 'OUTROS SERVIÇOS DE TERCEIROS - PESSOA FISICA'?,"O valor do item com o código 1.550.01 na categoria 'OUTROS SERVIÇOS DE TERCEIROS - PESSOA FISICA' não foi fornecido na pergunta. Para obter essa informação, consulte o respectivo documento ou sistema de controle financeiro.",0,"O valor do item com o código 1.550.01 na categoria 'OUTROS SERVIÇOS DE TERCEIROS - PESSOA FISICA' é 184.000,00.",5,False
22,factual,Qual é o modelo do veículo mencionado nas peças de mangueira?,"O modelo do veículo mencionado nas peças de mangueira não foi especificado na pergunta. Para uma resposta precisa, é necessário identificar o modelo do veículo ou o tipo de sistema de freios ou de mangueira em questão.",0,O modelo do veículo mencionado nas peças de mangueira é TOYOTA HILUX.,5,False
23,factual,Qual o valor do crédito suplementar aberto no Orçamento-Programa vigente?,"O valor do crédito suplementar aberto no Orçamento-Programa vigente é de R$ 12,5 bilhões.",0,"R$ 30.000,00.",5,False
24,factual,Qual foi a data original da sessão ordinária da Câmara Municipal de Simões?,A data original da sessão ordinária da Câmara Municipal de Simões foi 28 de abril de 2021.,0,A data original da sessão ordinária da Câmara Municipal de Simões era 19 de agosto de 2025.,5,False
25,factual,Qual o valor do contrato de aquisição do veículo para a Secretaria Municipal de Saúde?,"O valor do contrato de aquisição do veículo para a Secretaria Municipal de Saúde não foi especificado na informação fornecida. Para obter o valor exato, é necessário consultar o edital, a ata de licitação ou o contrato oficial referente à aquisição.",2,"O valor do contrato de aquisição do veículo para a Secretaria Municipal de Saúde é de R$ 148.990,00.",5,False
26,factual,Quem é responsável por exercer a Coordenação Especial de Regulação?,A Coordenação Especial de Regulação é exercida pelo **Ministro da Economia** do Brasil.,0,"A Coordenação Especial de Regulação é exercida por um Coordenador nomeado pelo Prefeito Municipal, devendo recair, preferencialmente, sobre pessoa com curso de graduação reconhecido pelo MEC.",5,False
27,factual,Qual é o nome da secretaria mencionada no trecho?,"A pergunta não fornece o trecho necessário para identificar a secretaria mencionada. Por favor, forneça o trecho da text para que eu possa responder com precisão.",2,A secretaria mencionada no trecho é a Secretaria Municipal de Assistência Social e Trabalho.,2,False
28,factual,Qual o valor total do serviço de mecânica corretiva para veículos leves?,"O valor total do serviço de mecânica corretiva para veículos leves varia conforme o tipo de reparo necessário, a marca e o modelo do veículo, bem como a localização e o estabelecimento que realiza o serviço. Não existe um valor fixo, pois os custos podem incluir peças, mão de obra e outros encargos.",0,"R$ 40.570,20",5,False
29,factual,Qual é o custo total estimado para a ação 2068 em 2026?,"Não há informações disponíveis sobre o custo total estimado para a ação 2068 em 2026. A ação 2068 não é um ativo financeiro padrão e não está listada em mercados conhecidos. Para obter informações precisas, consulte fontes financeiras confiáveis ou o emissor da ação.",5,"O custo total estimado para a ação 2068 em 2026 é de R$ 600.000,00.",0,False
