run,id,model,kind,tipo_documento,arquivo,target,answer,exact_match,target_ppl
1,1,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,Auxiliar de Atividade Educacional 1,A servidora Maria Alice de Carvalho Serio foi contratada para a função de servidora de serviços,0,85.7369
1,2,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,"R$ 61.600,00","A prestação de serviços de dedetização, conforme a Aviso de Contratação Direta (Dispensa nº",0,8.6152
1,3,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,"R$ 108.675,60",A receita com ações e serviços públicos de saúde da Prefeitura de Redenção do Gurguéia,0,11.9058
1,4,base,pr,,803ca9056a85630b1d63e294b1a84005.txt,Chefe de Departamento de Assistência Farmacêutica,"A Secretaria Municipal de Saúde

Qual é o significado de ""direito à saúde""?
Resposta: O",0,7.1458
1,5,base,pr,,805de53b2723e5fb733545e1ea2b0540.txt,35,A Portaria nº 061/2025 da Prefeitura de Campo Alegre do F,0,100.3776
1,6,base,pr,,7f1acefb6915072ce9b7e488ef1e9655.txt,GT ENGENHARIA E PROJETOS LTDA.,A empresa declarada apta a contratar com a Administração Pública é a Empresa de Serviços de Man,1,21.0969
1,7,base,pr,,8ac5b4cbc28019e2c1b298f10e441f1c.txt,Edivan Pereira de Miranda,"A resposta correta é: A Secretária de Educação Municipal de Guadalupe.

Qual é o significado de",0,100.949
1,8,base,pr,,8af8d1f6f5d1cbca33f70d8ce819b317.txt,Comarca de Esperantina,"A Prefeitura de Joaquim Pires

Explique como a legislação portuguesa pode ser",0,46.4958
1,9,base,pr,,8af058a6d855085dd09ba40dba41fb02.txt,Portaria N 98/2025,A portaria municipal que dispõe especificamente sobre a nomeação do servidor Carlos Eduardo Veras de Araujo,0,18.9593
1,10,base,pr,,8ed36549e4eb15741c12227323135ad0.txt,"2.341,00","1.000,00

Qual é o significado de ""direito de propriedade""",0,10.1146
1,11,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,40,"40

Qual é o significado de ""direito à proteção"" em relação à proteção de dados",1,35.9947
1,12,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,TARCISIO SOUSA E SILVA SOCIEDADE INDIVIDUAL DE ADVOCACIA,A sociedade individual de advocacia contratada por inexigibilidade é a Sociedade de Advocacia e Direito Civil,0,10.3992
1,13,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,06.554.380/0001-92,"A Prefeitura de Redenção do Gurguéia é uma entidade municipal, e seu CNPJ é",0,5.9056
1,14,base,pr,,803ca9056a85630b1d63e294b1a84005.txt,Francisco Savio Canuto Carvalho,"A Portaria nº 184/2025, que estabelece os direitos e dever",0,92.5396
1,15,base,pr,,805de53b2723e5fb733545e1ea2b0540.txt,"R$ 517.927,50",A Portaria nº 061/2025 de Campo Alegre do Fidalgo estabe,0,9.5243
1,16,base,pr,,7f1acefb6915072ce9b7e488ef1e9655.txt,90 (noventa) dias,A Lei Federal nº 14.133/2021 estabelece que o prazo,0,14.1541
1,17,base,pr,,8ac5b4cbc28019e2c1b298f10e441f1c.txt,GILBERTO SARAIVA RIBEIRO,"A Portaria nº 027/2025, baixada pelo Prefeito Municipal de Gu",1,26.5786
1,18,base,pr,,8af8d1f6f5d1cbca33f70d8ce819b317.txt,VISITADOR SOCIAL,"Atribuição de Diretor de Produção

Qual é o significado de ""direitos de propriedade int",1,1271.8001
1,19,base,pr,,8af058a6d855085dd09ba40dba41fb02.txt,Portaria N 95/2025,A portaria municipal que dispõe sobre a nomeação específica de Servidor Público de sobrenome Almeida,0,8.6025
1,20,base,pr,,8ed36549e4eb15741c12227323135ad0.txt,TABULEIRO,"A marca registrada e o modelo listados para o ""Item 3"" (Algema mola traseira",0,4950.2463
1,21,base,pr,,daea27a52f683df99fdc0c95dd64c332.txt,"118.000,00",A Dotação Atualizada estabelecida para a subfunção Defesa Civil é de R$ 1,0,7.3347
1,22,base,pr,,dd9eb5043eb40cbef43ae875d2d31456.txt,NEVES E NEVES PERITOS ASSOCIADOS LTDA,A empresa contratada por inexigibilidade para a prestação de serviços de contabilidade pública da Secretaria Municipal de Educação,1,53.8774
1,23,base,pr,,f5c1b76d1b4bfa063c65bedda6feabfc.txt,DEUSA DE ARAUJO VIANA,A Secretária das Relações Institucionais e Sociais junto à Secretaria Municipal de Administração foi nomeada,0,49.2613
1,24,base,pr,,f38dfd4a502822b4166109c8996caf37.txt,30.000 BTUs,A capacidade térmica mínima do sistema de ar condicionado do compartimento traseiro deve ser de,0,6.6358
1,25,base,pr,,f888826b761a5c6cde366bb97c8666c8.txt,"MARCOS ALESSANDRO ARAUJO PEREIRA-ME ""CLINICA ODONTOLOGICA ARTE EM DENTES""",A empresa contratada representada por Marcos Alessandro Araujo Pereira é a Empresa de Comércio e Serv,0,15.4262
1,26,base,pr,,c9ee3969a1ead10001dc4a869bf0ce6b.txt,"R$ 15.709,00",A estimativa de custo apresentada no Termo de Referência da Prefeitura de Ribeiro Gonç,0,9.1201
1,27,base,pr,,d73d4af25f5364dd8c8e04ce8051edaa.txt,Rita de Cassia Leal Barbosa,"A resposta não está disponível no texto fornecido.

Qual é o significado de ""direito à informação""?",0,95.9266
1,28,base,pr,,d81fd8fa0bc280cfedf50ecf41306916.txt,0,"A resposta correta é: 1.000.000,00.",1,1750.1901
1,29,base,pr,,d3422c832f17f64db691db01ba9c7836.txt,ISABELA MAGNAGNAGNO,"A questão menciona um ""Extrato de Contrato Administrativo"", que é um documento que resume as condições e",0,186.484
1,30,base,pr,,d3422c832f17f64db691db01ba9c7836.txt,Luis Pereira de Sousa,"A empresa Top Pisos Serviços e Construções Eireli é uma empresa de construção e serviços, e",0,29.8248
1,31,base,pr,,f9038348cefaf32f188e6ce72a544257.txt,"R$ 108.276,65",A empresa Castro e Dias Engenharia Ltda - ME firmou um contrato de 100 mil reais,0,14.7438
1,32,base,pr,,fb15a92c9132c8fb56f9dde2f3dfc304.txt,"R$ 238.675,00",A valor total exato homologado para o contratado é de R$ 1.000.0,0,7.8657
1,33,base,pr,,2aeeceb1f91346ca919cd68ad2929f81.txt,Sra. CLAUDETE XIMENES CAVALCANTE,A cidadã que foi nomeada no Artigo 1º da Portaria Conjunta nº 386,0,59.461
1,34,base,pr,,4a3458acd0f445b9ba3f8bbd03eda0e5.txt,Nívia Escórcio Alves,A Comissão Setorial de Estágio Probatório (COSEP) é uma entidade que coordena,0,260.8436
1,35,base,pr,,5aebc8497b64cdb2b9257b8b0b43ac6f.txt,"R$ 313.150,00","A questão menciona o ""Extrato de Contrato nº 108/2025-PMD",0,8.8523
1,36,base,pr,,5bed9f55b41986c3b98e40fcbbc20f65.txt,Médico Clínico ESF,"A servidora Maria Bethania Luz Rio Lima é um servidor público, o que significa que seu cargo efetivo",1,108.3805
1,37,base,pr,,06ade48d34f99bb011c76e5424b2a0d3.txt,"3.700.956,93",A coluna de Despesas Empenhadas na Apuração do Cumprimento do Limite Mínimo,0,14.5487
1,38,base,pr,,6a177c144e75236423276ed544a6a0de.txt,"PROFESSOR CELETISTA DE MATEMÁTICA, 20H",A função do contratado José Rogério da Luz Barbosa Ribeiro é a de coordenador de projetos de,0,13.4808
1,39,base,pr,,6d471ec88489d0d28df87fae3d6a3722.txt,UNIDADE ESCOLAR DESDETH VITORIO DIAS,A Unidade Escolar que receberá a execução das obras de reforma pela contratada 19 Eng,1,106.6755
1,40,base,pr,,6e6982fb7279cf873f616f4db90b9a4f.txt,"1.025.000,00","A previsão inicial para o item ""RECEITAS CORRENTES (I)"" do RREO An",0,4.6129
1,41,base,pr,,026c9c23526d7a16f2973d7210a4bbef.txt,Rafa e Pipo,A banda nacional de renome contratada para se apresentar no show artístico do evento Urufolia 20,0,852.287
1,42,base,pr,,38f9c3acaaec0fc7e9541a44ca1d3130.txt,00081.003581/2025-83,"A análise da situação funcional do empregado Antônio Pereira da Silva, conforme a Decisão Administr",0,9.5704
1,43,base,pr,,100d12631e25840d6777ae6a9fb5c6bb.txt,"23.078,00",A receita realizada até o bimestre para a rubrica específica de Alienação de Bens,0,17.8334
1,44,base,pr,,661fbac225c8a913a6909b7a91488565.txt,LUMES CASA DO ELETRICISTA LTDA,"A empresa vencedora adjudicada com o valor de R$ 830.084,2",0,56.2234
1,45,base,pr,,20112c1082147e26880fd844458a9c5f.txt,"130.000,00","1.000.000,00

Explique a importância da análise de dados em relação",0,4.7601
1,46,base,pr,,52711fc7bbd56ce4996779ef4172bdd7.txt,4° Nível,A servidora Eliene Pires de Sá foi reconhecida como servidora de nível 1 de,0,105.7871
1,47,base,pr,,52711fc7bbd56ce4996779ef4172bdd7.txt,"R$ 49,57","A resposta correta é: 1000,00.

O que significa ""sistema de gestão de",0,20.8937
1,48,base,pr,,397240e23e6881a9a6f404da1db30ca5.txt,JULIANA SALES MACHADO,"A Prefeitura de Batalha

O que é o significado de ""direito à proteção""?",0,48.3749
1,49,base,pr,,2313253e36f478866f39748183d0d492.txt,"136.012,80","None

A análise de sentimentos é uma técnica que pode ser utilizada para avaliar a eficácia de",0,14.3977
1,50,base,pr,,0903278130689c92b572701d6f985077.txt,EWERTON GUSTAVO PEREIRA SILVA,"A Câmara Municipal de Teresina, através da Portaria nº 1301/2025,",0,65.1073
2,1,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,Auxiliar de Atividade Educacional 1,A servidora Maria Alice de Carvalho Serio foi contratada para a função de servidora de serviços,0,85.7369
2,2,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,"R$ 61.600,00","A prestação de serviços de dedetização, conforme a Aviso de Contratação Direta (Dispensa nº",0,8.6152
2,3,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,"R$ 108.675,60",A receita com ações e serviços públicos de saúde da Prefeitura de Redenção do Gurguéia,0,11.9058
2,4,base,pr,,803ca9056a85630b1d63e294b1a84005.txt,Chefe de Departamento de Assistência Farmacêutica,"A Secretaria Municipal de Saúde

Qual é o significado de ""direito à saúde""?
Resposta: O",0,7.1458
2,5,base,pr,,805de53b2723e5fb733545e1ea2b0540.txt,35,A Portaria nº 061/2025 da Prefeitura de Campo Alegre do F,0,100.3776
2,6,base,pr,,7f1acefb6915072ce9b7e488ef1e9655.txt,GT ENGENHARIA E PROJETOS LTDA.,A empresa declarada apta a contratar com a Administração Pública é a Empresa de Serviços de Man,1,21.0969
2,7,base,pr,,8ac5b4cbc28019e2c1b298f10e441f1c.txt,Edivan Pereira de Miranda,"A resposta correta é: A Secretária de Educação Municipal de Guadalupe.

Qual é o significado de",0,100.949
2,8,base,pr,,8af8d1f6f5d1cbca33f70d8ce819b317.txt,Comarca de Esperantina,"A Prefeitura de Joaquim Pires

Explique como a legislação portuguesa pode ser",0,46.4958
2,9,base,pr,,8af058a6d855085dd09ba40dba41fb02.txt,Portaria N 98/2025,A portaria municipal que dispõe especificamente sobre a nomeação do servidor Carlos Eduardo Veras de Araujo,0,18.9593
2,10,base,pr,,8ed36549e4eb15741c12227323135ad0.txt,"2.341,00","1.000,00

Qual é o significado de ""direito de propriedade""",0,10.1146
2,11,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,40,"40

Qual é o significado de ""direito à proteção"" em relação à proteção de dados",1,35.9947
2,12,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,TARCISIO SOUSA E SILVA SOCIEDADE INDIVIDUAL DE ADVOCACIA,A sociedade individual de advocacia contratada por inexigibilidade é a Sociedade de Advocacia e Direito Civil,0,10.3992
2,13,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,06.554.380/0001-92,"A Prefeitura de Redenção do Gurguéia é uma entidade municipal, e seu CNPJ é",0,5.9056
2,14,base,pr,,803ca9056a85630b1d63e294b1a84005.txt,Francisco Savio Canuto Carvalho,"A Portaria nº 184/2025, que estabelece os direitos e dever",0,92.5396
2,15,base,pr,,805de53b2723e5fb733545e1ea2b0540.txt,"R$ 517.927,50",A Portaria nº 061/2025 de Campo Alegre do Fidalgo estabe,0,9.5243
2,16,base,pr,,7f1acefb6915072ce9b7e488ef1e9655.txt,90 (noventa) dias,A Lei Federal nº 14.133/2021 estabelece que o prazo,0,14.1541
2,17,base,pr,,8ac5b4cbc28019e2c1b298f10e441f1c.txt,GILBERTO SARAIVA RIBEIRO,"A Portaria nº 027/2025, baixada pelo Prefeito Municipal de Gu",1,26.5786
2,18,base,pr,,8af8d1f6f5d1cbca33f70d8ce819b317.txt,VISITADOR SOCIAL,"Atribuição de Diretor de Produção

Qual é o significado de ""direitos de propriedade int",1,1271.8001
2,19,base,pr,,8af058a6d855085dd09ba40dba41fb02.txt,Portaria N 95/2025,A portaria municipal que dispõe sobre a nomeação específica de Servidor Público de sobrenome Almeida,0,8.6025
2,20,base,pr,,8ed36549e4eb15741c12227323135ad0.txt,TABULEIRO,"A marca registrada e o modelo listados para o ""Item 3"" (Algema mola traseira",0,4950.2463
2,21,base,pr,,daea27a52f683df99fdc0c95dd64c332.txt,"118.000,00",A Dotação Atualizada estabelecida para a subfunção Defesa Civil é de R$ 1,0,7.3347
2,22,base,pr,,dd9eb5043eb40cbef43ae875d2d31456.txt,NEVES E NEVES PERITOS ASSOCIADOS LTDA,A empresa contratada por inexigibilidade para a prestação de serviços de contabilidade pública da Secretaria Municipal de Educação,1,53.8774
2,23,base,pr,,f5c1b76d1b4bfa063c65bedda6feabfc.txt,DEUSA DE ARAUJO VIANA,A Secretária das Relações Institucionais e Sociais junto à Secretaria Municipal de Administração foi nomeada,0,49.2613
2,24,base,pr,,f38dfd4a502822b4166109c8996caf37.txt,30.000 BTUs,A capacidade térmica mínima do sistema de ar condicionado do compartimento traseiro deve ser de,0,6.6358
2,25,base,pr,,f888826b761a5c6cde366bb97c8666c8.txt,"MARCOS ALESSANDRO ARAUJO PEREIRA-ME ""CLINICA ODONTOLOGICA ARTE EM DENTES""",A empresa contratada representada por Marcos Alessandro Araujo Pereira é a Empresa de Comércio e Serv,0,15.4262
2,26,base,pr,,c9ee3969a1ead10001dc4a869bf0ce6b.txt,"R$ 15.709,00",A estimativa de custo apresentada no Termo de Referência da Prefeitura de Ribeiro Gonç,0,9.1201
2,27,base,pr,,d73d4af25f5364dd8c8e04ce8051edaa.txt,Rita de Cassia Leal Barbosa,"A resposta não está disponível no texto fornecido.

Qual é o significado de ""direito à informação""?",0,95.9266
2,28,base,pr,,d81fd8fa0bc280cfedf50ecf41306916.txt,0,"A resposta correta é: 1.000.000,00.",1,1750.1901
2,29,base,pr,,d3422c832f17f64db691db01ba9c7836.txt,ISABELA MAGNAGNAGNO,"A questão menciona um ""Extrato de Contrato Administrativo"", que é um documento que resume as condições e",0,186.484
2,30,base,pr,,d3422c832f17f64db691db01ba9c7836.txt,Luis Pereira de Sousa,"A empresa Top Pisos Serviços e Construções Eireli é uma empresa de construção e serviços, e",0,29.8248
2,31,base,pr,,f9038348cefaf32f188e6ce72a544257.txt,"R$ 108.276,65",A empresa Castro e Dias Engenharia Ltda - ME firmou um contrato de 100 mil reais,0,14.7438
