model,id,n_tokens,doc_ppl
base,a8a104305d4232fef50b18c8e27bc31c,1023,11.6114
base,3d085fda8b8e96139df27aaee0e82e55,1023,5.0227
base,3d6a4e6ed9a79fc5729798e4fecc0db5,1023,14.8232
base,60e4080ffd659a62b34c47cd67cbbf84,161,13.2666
base,aaa1431f9b06c80763a3c9c11b8684af,1023,21.9014
base,2814b4b3bd36f77aaca17f138f588866,1023,8.5912
base,ae29c8abd0f2b1f05a212cbf410f3a6d,1023,8.4496
base,764dc5f9a389b5831f02b51737c61b97,1023,5.6248
base,230d89b0a09f200d017393dda6f6aa20,1023,12.7921
base,ad8148e98416777682dbfbb0f7c1719b,1023,16.4899
base,8b45aabe396e78a90260740684ef7e2c,1023,11.6307
base,2fce06caec6a5c5ba7cd4c8ef65a0105,1023,6.4885
base,e21a4c5d156d5c17caad722930836eff,1023,28.589
base,feaadd69576f9a0d8b20983db913671f,1023,20.6645
base,213164ca1db758478c069b507ca2be7b,519,9.0487
base,77c2aad3463eafd3cdf169e5932214c0,1023,4.5621
base,cab6cddbd2984c216eaa52affeed0ea5,1023,9.4168
base,ea3156cd04b51c8dec047ded8c0bfb76,1023,5.9002
base,86e16dba73d128fe7ef7c7cb9624be45,1023,3.1663
base,d866e081637ff5eee7527729dcfb9ba7,1023,5.0792
base,6bfa80875bf05127449e2e598b8d2d12,1023,20.6965
base,39d369b6485b8dd800d282c2ab4bbb4e,1023,17.3166
base,ed2228d9cc76c05c5f0f5cfae82cd636,1023,20.3431
base,0ce1910a8fa721b5d9634398099307ff,1023,4.6978
base,86e097a2a0cac4d340ef205acede26c8,1023,20.562
base,95ab49dcc6c1df064becb7c11d139db6,1023,26.5404
base,06e8bb0729c08484b5668234d51ffae1,1023,9.3231
base,a606586be34f7c2b525e57a929bcfb1a,1023,10.687
base,2c758c76da8efa01dde8aa3f374e37a9,1023,13.3537
base,0c271d97bd42b042efa8f7129f29677d,1023,8.8161
base,d1a5326efed26d75ce02e6bcb1d02a7d,1023,9.28
base,c965caefb828b4772141e2e9ac35e49b,1023,8.099
base,ea8e346b2141d51c6dec3af9cdb40060,1023,10.1264
base,f05512f10ae880a9b65f7fb161cbdfd6,972,8.4024
base,678d002fd0a167d16ba1baa90b9ff8f5,353,11.1177
base,ca4b97015e7c8f52d9f45cd897dc4e0c,493,23.2332
base,ec42d6e4769362003b4c51b2c77db053,1023,4.6128
base,ef2462f2c3a7e2d1b8b2776dcef4cc93,730,5.5298
base,107927b4f183de1c50e337bdf0dd3e19,1023,12.3481
base,19124aa52057551321ac1b879dfe2bb4,1023,8.7567
base,cd64ce40b87eeaf480bcf9734b8eee2f,796,12.4725
base,bc84b05f6f366e36021771d57187bd4c,1023,13.8802
base,c012c2a1228a44059750030f3cedf50c,1023,15.7769
base,f9c66891c73a1a6850546540e5c60114,1023,9.5218
base,4664ee924a469a7388e970daf11a708f,1023,2.9632
base,067867a1c6ec5dbe6e6b6f225c628db9,369,9.0979
base,726ec0838466c34a690b47334ad90c3b,1023,12.0093
base,29aaf8b532efb835c7d8d22121695426,1023,12.255
base,46d2f48f60cda28117db9590396959ba,1023,17.1417
base,fc0f29086c476c6c14899c5cd5b34693,1023,12.7593
base,3b154c198ddbde278f18ba02a5e10175,1023,20.6281
base,7a80037de47e09d970ee68881493e4c2,1023,5.9005
base,90b1766648cccf0086bad24c8ea10c40,1023,10.5837
base,420a73d97e91e142694f6413a7d3150d,319,10.6487
base,6eec3539f7395d38cf96f0498e864814,200,23.1463
base,9db0f61bfa383ee439935edb6b3978cb,1023,9.378
base,4cd4420c535d3535bd0921bb45f999ed,1023,13.3865
base,798a20231754cb9fcb3b540d3b08632f,1023,14.6211
base,01c57660221d4310192f9016484f0d5d,1023,13.7665
base,625a02ea567522abc90c055c20b12c15,1023,18.4869
base,2ac1ab51dc7be89430b66656542d74f3,1023,16.6387
base,1a92847e7c740733a4fe3da0b1d93f7f,769,14.1333
base,0b23e15fbce6a9b626d45bf4651b6f99,1023,14.962
base,d584b054d85893bfcf40a3768de8e5ae,1023,6.783
base,0648380a3a581a6a17df28c4f80b9b6b,1023,17.2171
base,c2b947c056f95f11cc1b37913ea59acf,1023,34.8143
base,a41fceda78f889e71606bb94b9ea3521,1023,10.6902
base,e8b9ef0dd821e5354e818c9b734d5c58,1023,11.4805
base,4f731a4e1181b627dc34a2f960fcfec3,1017,7.5236
base,5097a31712e050d9b7587dc243102e66,1023,24.696
base,b322ba0b46ef1711e67c45180e32d6e9,1023,17.4904
base,5e805d2f25e48e4ffffd0ef30c729e86,1023,12.983
base,4621580c94f0452fabd7528f1a3cda31,1023,11.7152
base,f4d13ca73eb032f6df719bfa320b43bd,1023,10.6142
base,811de92395703acadf942fb29a7d5c12,1023,10.1251
base,ff5222f1bb28adea9441a0b3525bdfd8,1023,8.0655
base,002db6604f1843470dde2c4d21d6f799,1023,39.9335
base,0158be4aafa8c2dfc87d290a04febfef,1023,7.3343
base,d1ce9e84ae2655220ee4293b8199cfc0,1023,9.7945
base,7a5ec055a7f449673a8363dba1a07da4,1023,16.3214
base,72b8ffd088f1f422edc54192974d142b,1023,18.1213
base,c18fea0535876c6ac2620b146d5f6291,1023,16.6333
base,67d3e5f043aca9e54af5c5566e65d316,1023,10.3542
base,7c3d0d111d2860d6af821a99d80b3693,1023,88.513
base,d939b01794c0979e6c3ea3dddf5e17cf,1023,8.853
base,2f697fcc7752a44600a91998fe8a3a01,1023,5.4564
base,90ed936690048975035f2e582cfb36b0,737,9.2622
base,5713ad83cc10a67a51245f1afb9f9820,1023,6.3214
