run,id,model,kind,tipo_documento,arquivo,target,answer,exact_match,target_ppl
1,1,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,Auxiliar de Atividade Educacional 1,"A servidora Maria Alice de Carvalho Serio foi contratada para a função de ""Auxiliar de Serv",0,18.2758
1,2,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,"R$ 61.600,00",O valor total estimado para a prestação de serviços de dedetização é de R$ 1.00,0,5.088
1,3,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,"R$ 108.675,60","R$ 1.000.000,00
O valor de R$ 1.",0,7.2555
1,4,base,pr,,803ca9056a85630b1d63e294b1a84005.txt,Chefe de Departamento de Assistência Farmacêutica,"A Secretaria Municipal de Saúde de Brasileira, no Estado de São Paulo, foi nomeada a Thais Men",0,4.0674
1,5,base,pr,,805de53b2723e5fb733545e1ea2b0540.txt,35,10000000000000000000000,0,132.6457
1,6,base,pr,,7f1acefb6915072ce9b7e488ef1e9655.txt,GT ENGENHARIA E PROJETOS LTDA.,A empresa declarada apta a contratar com a Administração Pública no Termo de Ratificação do Processo,1,7.0587
1,7,base,pr,,8ac5b4cbc28019e2c1b298f10e441f1c.txt,Edivan Pereira de Miranda,O cidadão que foi nomeado para exercer o cargo em comissão de Secretário Municipal da Cidade,0,56.5857
1,8,base,pr,,8af8d1f6f5d1cbca33f70d8ce819b317.txt,Comarca de Esperantina,1º Vara Cível da Comarca de Joaquim Pires.,0,11.5836
1,9,base,pr,,8af058a6d855085dd09ba40dba41fb02.txt,Portaria N 98/2025,1.000.000.000.000.000.0,0,16.2638
1,10,base,pr,,8ed36549e4eb15741c12227323135ad0.txt,"2.341,00","O valor unitário final registrado para o ""Item 4"" (Alternador para veículo pesado, aplicação Ive",0,10.9164
1,11,base,pr,,9a2a8026e2b9531d4f2e24d182e8971c.txt,40,"40 horas semanais

Explicação: O contrato de prestação de serviços temporários de maio",1,35.7288
1,12,base,pr,,72fabea47a883cedcb80e8ad7736f78f.txt,TARCISIO SOUSA E SILVA SOCIEDADE INDIVIDUAL DE ADVOCACIA,A sociedade individual de advocacia contratada por inexigibilidade é a Sociedade de Advogados de Dom In,0,7.4386
1,13,base,pr,,84e1be7c07ac38859be563c063917dc2.txt,06.554.380/0001-92,"06.000.000/0001-00
O que é o",0,4.246
1,14,base,pr,,803ca9056a85630b1d63e294b1a84005.txt,Francisco Savio Canuto Carvalho,O profissional nomeado para o cargo de Chefe de Departamento de Recursos Humanos Municipal de Saúde é o,1,55.9873
1,15,base,pr,,805de53b2723e5fb733545e1ea2b0540.txt,"R$ 517.927,50","R$ 1.000.000,00 (um milhão de reais).",0,7.6283
1,16,base,pr,,7f1acefb6915072ce9b7e488ef1e9655.txt,90 (noventa) dias,"O prazo de vigência do contrato é de 12 meses, conforme estabelecido no artigo",0,4.9385
1,17,base,pr,,8ac5b4cbc28019e2c1b298f10e441f1c.txt,GILBERTO SARAIVA RIBEIRO,"A Portaria nº 027/2025, baixada pelo Prefeito Municipal de Gu",1,16.0531
1,18,base,pr,,8af8d1f6f5d1cbca33f70d8ce819b317.txt,VISITADOR SOCIAL,Através do Contrato de Admissão Temporária de Joaquim Pires assinado em,0,1257.145
1,19,base,pr,,8af058a6d855085dd09ba40dba41fb02.txt,Portaria N 95/2025,00000000000000000000000,0,6.4133
1,20,base,pr,,8ed36549e4eb15741c12227323135ad0.txt,TABULEIRO,"A marca registrada e o modelo listados para o ""Item 3"" (Algema mola traseira",0,5160.8754
1,21,base,pr,,daea27a52f683df99fdc0c95dd64c332.txt,"118.000,00","1.000.000,00
Resposta: 1.000.",0,5.0039
1,22,base,pr,,dd9eb5043eb40cbef43ae875d2d31456.txt,NEVES E NEVES PERITOS ASSOCIADOS LTDA,"A empresa contratada foi a ""Sociedade de Contabilidade e Consultoria em Direito e Administração S",1,27.4329
1,23,base,pr,,f5c1b76d1b4bfa063c65bedda6feabfc.txt,DEUSA DE ARAUJO VIANA,A Secretária das Relações Institucionais e Sociais junto à Secretaria Municipal de Administração é a S,0,32.9837
1,24,base,pr,,f38dfd4a502822b4166109c8996caf37.txt,30.000 BTUs,"10.000 BTUs
O sistema de ar condicionado do compartimento traseiro do",0,4.0912
1,25,base,pr,,f888826b761a5c6cde366bb97c8666c8.txt,"MARCOS ALESSANDRO ARAUJO PEREIRA-ME ""CLINICA ODONTOLOGICA ARTE EM DENTES""","A empresa contratada é a ""SILVANIA ELETRÔNICA LTDA"", com a denom",0,9.2518
1,26,base,pr,,c9ee3969a1ead10001dc4a869bf0ce6b.txt,"R$ 15.709,00",O valor fixado para cada uma das 12 parcelas mensais e sucessivas a serem pagas à,0,5.609
1,27,base,pr,,d73d4af25f5364dd8c8e04ce8051edaa.txt,Rita de Cassia Leal Barbosa,O primeiro nome listado como classificado sob a atividade específica de Linguagem no resultado final da seleção de medi,1,17.1478
1,28,base,pr,,d81fd8fa0bc280cfedf50ecf41306916.txt,0,O valor exato listado como inscrito em 31 de Dezembro de 2024 para,0,18568.391
1,29,base,pr,,d3422c832f17f64db691db01ba9c7836.txt,ISABELA MAGNAGNAGNO,"A Engenheira Civil contratada foi a Dra. Maria de Lourdes de Souza, que foi contrat",0,119.5671
1,30,base,pr,,d3422c832f17f64db691db01ba9c7836.txt,Luis Pereira de Sousa,O nome completo do representante legal que assina como contratado em nome da empresa Top Pisos Serviços e,0,31.2199
1,31,base,pr,,f9038348cefaf32f188e6ce72a544257.txt,"R$ 108.276,65","O valor total do contrato é de R$ 1.000.000,00 (um",0,7.4909
1,32,base,pr,,fb15a92c9132c8fb56f9dde2f3dfc304.txt,"R$ 238.675,00","O valor total exato homologado para o contratado é de R$ 1.000,0",0,5.6939
