model,id,n_tokens,doc_ppl
base,a8a104305d4232fef50b18c8e27bc31c,1023,7.4492
base,3d085fda8b8e96139df27aaee0e82e55,1023,3.6833
base,3d6a4e6ed9a79fc5729798e4fecc0db5,1023,12.086
base,60e4080ffd659a62b34c47cd67cbbf84,153,9.099
base,aaa1431f9b06c80763a3c9c11b8684af,942,16.4344
base,2814b4b3bd36f77aaca17f138f588866,1023,5.8149
base,ae29c8abd0f2b1f05a212cbf410f3a6d,1023,5.3978
base,764dc5f9a389b5831f02b51737c61b97,1023,4.7979
base,230d89b0a09f200d017393dda6f6aa20,1023,8.9106
base,ad8148e98416777682dbfbb0f7c1719b,1023,9.0141
base,8b45aabe396e78a90260740684ef7e2c,1023,7.6828
base,2fce06caec6a5c5ba7cd4c8ef65a0105,1023,4.7534
base,e21a4c5d156d5c17caad722930836eff,1023,16.4664
base,feaadd69576f9a0d8b20983db913671f,1023,12.7118
base,213164ca1db758478c069b507ca2be7b,456,7.1229
base,77c2aad3463eafd3cdf169e5932214c0,1023,3.0714
base,cab6cddbd2984c216eaa52affeed0ea5,1023,6.8971
base,ea3156cd04b51c8dec047ded8c0bfb76,1023,4.1471
base,86e16dba73d128fe7ef7c7cb9624be45,1023,2.9489
base,d866e081637ff5eee7527729dcfb9ba7,1023,3.4762
base,6bfa80875bf05127449e2e598b8d2d12,1023,12.375
base,39d369b6485b8dd800d282c2ab4bbb4e,1023,9.7083
base,ed2228d9cc76c05c5f0f5cfae82cd636,1023,11.8024
base,0ce1910a8fa721b5d9634398099307ff,1023,4.2201
base,86e097a2a0cac4d340ef205acede26c8,1023,13.7689
base,95ab49dcc6c1df064becb7c11d139db6,1023,14.6418
base,06e8bb0729c08484b5668234d51ffae1,1023,8.1501
base,a606586be34f7c2b525e57a929bcfb1a,1023,8.1129
base,2c758c76da8efa01dde8aa3f374e37a9,1023,7.0437
base,0c271d97bd42b042efa8f7129f29677d,1023,7.4538
base,d1a5326efed26d75ce02e6bcb1d02a7d,1023,6.6086
base,c965caefb828b4772141e2e9ac35e49b,1023,5.2848
base,ea8e346b2141d51c6dec3af9cdb40060,1023,8.2584
base,f05512f10ae880a9b65f7fb161cbdfd6,927,5.5564
base,678d002fd0a167d16ba1baa90b9ff8f5,335,6.9615
base,ca4b97015e7c8f52d9f45cd897dc4e0c,452,11.8056
base,ec42d6e4769362003b4c51b2c77db053,1023,4.1737
base,ef2462f2c3a7e2d1b8b2776dcef4cc93,707,4.0267
base,107927b4f183de1c50e337bdf0dd3e19,958,8.7221
base,19124aa52057551321ac1b879dfe2bb4,1023,5.8648
base,cd64ce40b87eeaf480bcf9734b8eee2f,731,6.9673
base,bc84b05f6f366e36021771d57187bd4c,1023,9.9497
base,c012c2a1228a44059750030f3cedf50c,1023,10.2063
base,f9c66891c73a1a6850546540e5c60114,1023,8.0755
base,4664ee924a469a7388e970daf11a708f,1023,2.7859
base,067867a1c6ec5dbe6e6b6f225c628db9,361,7.298
base,726ec0838466c34a690b47334ad90c3b,1023,7.4922
base,29aaf8b532efb835c7d8d22121695426,1023,11.091
base,46d2f48f60cda28117db9590396959ba,1023,9.9192
base,fc0f29086c476c6c14899c5cd5b34693,1023,7.8833
base,3b154c198ddbde278f18ba02a5e10175,1023,13.0465
base,7a80037de47e09d970ee68881493e4c2,1023,4.2903
base,90b1766648cccf0086bad24c8ea10c40,1023,7.6196
base,420a73d97e91e142694f6413a7d3150d,285,6.6139
base,6eec3539f7395d38cf96f0498e864814,186,15.1875
base,9db0f61bfa383ee439935edb6b3978cb,1023,6.2621
base,4cd4420c535d3535bd0921bb45f999ed,1023,9.0703
base,798a20231754cb9fcb3b540d3b08632f,1023,10.9837
base,01c57660221d4310192f9016484f0d5d,1023,11.2155
base,625a02ea567522abc90c055c20b12c15,1023,12.0561
base,2ac1ab51dc7be89430b66656542d74f3,1023,11.8915
base,1a92847e7c740733a4fe3da0b1d93f7f,729,9.3344
base,0b23e15fbce6a9b626d45bf4651b6f99,1023,10.7789
base,d584b054d85893bfcf40a3768de8e5ae,1023,4.1797
base,0648380a3a581a6a17df28c4f80b9b6b,1023,12.7566
base,c2b947c056f95f11cc1b37913ea59acf,1023,23.7948
base,a41fceda78f889e71606bb94b9ea3521,1023,6.2782
base,e8b9ef0dd821e5354e818c9b734d5c58,1023,7.8088
base,4f731a4e1181b627dc34a2f960fcfec3,976,6.5636
base,5097a31712e050d9b7587dc243102e66,1023,16.1942
base,b322ba0b46ef1711e67c45180e32d6e9,1023,11.4988
base,5e805d2f25e48e4ffffd0ef30c729e86,1023,7.6815
base,4621580c94f0452fabd7528f1a3cda31,1023,8.5127
base,f4d13ca73eb032f6df719bfa320b43bd,1023,8.1992
base,811de92395703acadf942fb29a7d5c12,1023,6.0372
base,ff5222f1bb28adea9441a0b3525bdfd8,1023,7.1626
base,002db6604f1843470dde2c4d21d6f799,1023,25.9442
base,0158be4aafa8c2dfc87d290a04febfef,1023,3.9177
base,d1ce9e84ae2655220ee4293b8199cfc0,1023,6.733
base,7a5ec055a7f449673a8363dba1a07da4,1023,11.2474
base,72b8ffd088f1f422edc54192974d142b,1023,9.0001
base,c18fea0535876c6ac2620b146d5f6291,1023,12.3451
base,67d3e5f043aca9e54af5c5566e65d316,1023,6.0551
base,7c3d0d111d2860d6af821a99d80b3693,1023,48.2849
base,d939b01794c0979e6c3ea3dddf5e17cf,1023,6.0838
base,2f697fcc7752a44600a91998fe8a3a01,1023,4.8192
base,90ed936690048975035f2e582cfb36b0,679,5.9277
base,5713ad83cc10a67a51245f1afb9f9820,1004,4.5724
base,c676843de4161dd3226263afba2f7fad,1023,15.8093
base,0e735ed16b96fb1077d9292f98bd9d08,989,8.109
base,7513d5ce813578039cbaf7510e83d19e,130,12.1354
base,68cee526c2fd690aa585d5d9f638f71f,1023,5.4603
base,fd5fcb46de3754e6c299814ee0d048ff,1023,18.6317
base,f94e8e5c0eb8a4abd8c5f611bff53e61,1023,5.7179
base,4bca7c7faa398103efe1e437c0a1829d,492,12.3075
base,a406a0a8fafa7687610310ebf4d97d0c,1023,9.7219
base,a39c6076700685845ac8053e3b027efa,1023,12.7879
base,60fac36954c68b98a8f01591c1e97c4e,1023,11.0655
base,a23db5858d02afd19589a87b1069c2e7,1023,4.0725
base,0a84248ea889043e065524939ab9edc5,1023,6.9313
base,0f9a8b41bd685940072c72bf7f09481d,1023,2.8696
base,510f94028be0811d4afd40b07435e16e,1023,5.001
base,a8ac5e3794f5f465ab6a1593fdffb0d4,1023,8.2871
base,3e0d8438c42b3805f550a9ae472ff23d,1023,12.757
base,44f08d6d1f49c5ab1107117be45a5147,1023,11.067
base,c67448b7d33767abb04f2c290b4697cd,1023,9.7827
base,3d9c9fc9c9e69f2d74b05c63ff12a347,1023,10.0531
base,aadf44dc723d9e29e42015fca4fa62ae,1023,13.4694
base,bb945d7518c45e159e52ac4a2bf3b64f,1023,4.1675
base,470ffde2a7373919d11fcbdf5f9fb32a,1023,4.0222
base,2418ce74bf9e0f1f0a3c2e374c71f96c,1023,16.0285
base,921fe5f12704b41704c7fbb7da55a1c2,1023,4.5915
base,1dd976fb9922568a65c3ed53eb14d85a,1023,9.0691
base,525e167502f622e0a37776243c26b96d,418,5.523
base,c85e827522be94affd69f92143b5bf40,337,15.4761
base,2a36d912c4d7b26ee4080a9f10554536,1023,6.311
base,c9ca5800a2f2abbc870d53f82de38fb4,453,7.359
base,114dc73caf4bf3cf2e8294c1cea5e501,1023,12.146
base,4c17d12bb4864c561dbe518d5b79be0d,1023,8.8267
base,f239db7688455adb991d4bd3bf6991d8,513,7.0041
base,9008e81fa58621f874f18718c25617b4,981,8.1122
