idx,type,question,answer_baseline,score_baseline,answer_standard,score_standard,corrected_standard,answer_agentic_graph,score_agentic_graph,corrected_agentic_graph
0,factual,Qual é o artigo que trata da possibilidade de adjudicação quando a negociação de melhor condição frustra-se?,"O artigo que trata da possibilidade de adjudicação quando a negociação de melhor condição frustra-se é o **artigo 135, § 2º**, da Lei nº 14.133/2021 (Lei de Licitações e Contratos). Esse dispositivo permite a adjudicação da licitação mesmo que a negociação de melhor condição não tenha sucesso, desde que haja justificativa e observância dos princípios da legalidade, impessoalidade, moralidade, publicidade e eficiência.",4,O artigo que trata da possibilidade de adjudicação quando a negociação de melhor condição frustra-se é o **5.12.2**.,5,False,O artigo que trata da possibilidade de adjudicação quando a negociação de melhor condição frustra-se é o **5.12.2**.,5,False
1,factual,"Qual o número do ato que corresponde à transferência de 10.000,00 para a TRANSF.ALDIR BLANC LEI N?","O número do ato que corresponde à transferência de R$ 10.000,00 para a TRANSF. ALDIR BLANC LEI N. é **ATO 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0,"O número do ato correspondente à transferência de 10.000,00 para a TRANSF.ALDIR BLANC LEI N é 1.719.0.",5,False,"O número do ato correspondente à transferência de 10.000,00 para a TRANSF.ALDIR BLANC LEI N é 1.719.0.",5,False
2,factual,Qual é a data de assinatura do documento?,A data de assinatura do documento é 15 de abril de 2024.,0,A data de assinatura do documento é 28 de agosto de 2025.,0,False,A data de assinatura do documento é 28 de agosto de 2025.,0,False
3,factual,Qual é o nome da divisão responsável pela gestão de imóveis na Diretoria de Investimentos?,A divisão responsável pela gestão de imóveis na Diretoria de Investimentos é a **Divisão de Gestão de Imóveis**.,5,A divisão responsável pela gestão de imóveis na Diretoria de Investimentos é a Assessoria de Gestão de Imóveis.,5,False,A divisão responsável pela gestão de imóveis na Diretoria de Investimentos é a Assessoria de Gestão de Imóveis.,5,False
4,factual,Qual é o número da portaria que institui a Comissão Especial para discutir a resolução normativa que regula a oferta da Educação Infantil?,"A portaria que institui a Comissão Especial para discutir a resolução normativa que regula a oferta da Educação Infantil é a **Portaria nº 874, de 13 de junho de 2019**, do Ministério da Educação (MEC).",0,A portaria que institui a Comissão Especial para discutir a resolução normativa que regula a oferta da Educação Infantil é a Portaria Nº 004/2023/CME/SEMEC.,5,False,A portaria que institui a Comissão Especial para discutir a resolução normativa que regula a oferta da Educação Infantil é a Portaria Nº 004/2023/CME/SEMEC.,5,False
5,factual,Qual o nome da pessoa nomeada para o cargo de Chefe do Setor Geral de Controle e Distribuicao?,O nome da pessoa nomeada para o cargo de Chefe do Setor Geral de Controle e Distribuição não está disponível publicamente ou não foi informado em fontes confiáveis até o momento.,0,O nome da pessoa nomeada para o cargo de Chefe do Setor Geral de Controle e Distribuição é Francisco José Ribeiro.,5,False,FRANCISCO JOSE RIBEIRO,5,False
6,factual,Qual foi o dia da realização da audiência pública em Porto Alegre do Piauí?,"Não há registro de uma audiência pública em Porto Alegre do Piauí, pois Porto Alegre é uma cidade do estado do Rio Grande do Sul, não do Piauí. É possível que haja confusão com o nome de algum município. Se você se refere a uma audiência pública no Piauí, por favor, forneça mais detalhes para uma resposta precisa.",0,A audiência pública em Porto Alegre do Piauí foi realizada em 28 de maio de 2025.,5,False,A audiência pública em Porto Alegre do Piauí foi realizada em 28 de maio de 2025.,5,False
7,factual,Qual o CNPJ da empresa CONSULTORIA CONTABIL LTDA?,"Não é possível fornecer o CNPJ da empresa ""CONSULTORIA CONTABIL LTDA"" com base apenas no nome, pois existem múltiplas empresas com nomes semelhantes no Brasil. Para obter o CNPJ correto, é necessário verificar no site da Receita Federal do Brasil (https://www.receita.fazenda.gov.br) utilizando dados adicionais como cidade, estado ou razão social completa.",5,O CNPJ da empresa CONSULTORIA CONTABIL LTDA é 23.221.481/0001-60.,5,False,O CNPJ da empresa CONSULTORIA CONTABIL LTDA é 23.221.481/0001-60.,5,False
8,factual,"Qual é o artigo da Lei nº 14.133, de 2021, mencionado no trecho?","O artigo mencionado no trecho é o artigo 12 da Lei nº 14.133, de 2021.",0,"O artigo da Lei nº 14.133, de 2021, mencionado no trecho é o art. 74, inciso II.",0,False,"O artigo da Lei nº 14.133, de 2021, mencionado no trecho é o art. 74, inciso II.",0,False
9,factual,Qual o número do ato da manutenção da Secretaria de Cultura?,O número do ato da manutenção da Secretaria de Cultura é 1.234/2023.,0,O número do ato da manutenção da Secretaria de Cultura é 13.392.0013.2022.0000.,5,False,O número do ato da manutenção da Secretaria de Cultura é 13.392.0013.2022.0000.,5,False
