idx,type,question,answer_baseline,score_baseline,answer_standard,score_standard,corrected_standard,answer_agentic_graph,score_agentic_graph,corrected_agentic_graph
0,factual,Qual é o artigo que trata da possibilidade de adjudicação quando a negociação de melhor condição frustra-se?,الطائف,0,[self],5,False,ведения,0,False
1,factual,"Qual o número do ato que corresponde à transferência de 10.000,00 para a TRANSF.ALDIR BLANC LEI N?","⋅ 10.000,00",0,"[084c3cc41617b03fd8c3965d4810a851] 1719.60.0.0.00 | ENTIDADES | | | | | |
| 1719.99.0.0.00 1721.50.0.0.00 | OUTRASTRANSF.RECURSOS UNIÃO COTA-PARTE DO ICMS | 1.200.000,00 15.700.000,00 | 1.260.000,00 16.485.000,00 | 1.320.000,00 17.270.000,00 | 1.380.000,00 18.055.000,00 | 5.160.000,00 67.510.000,00 |
| 1721.51.0.0.00 | COTA-PARTEDO IPVA | 1.900.000,00 | 1.995.000,00 | 2.090.000,00 | 2.185.000,00 | 8.170.000,00 |
| 1721.52.0.0.00 | COTA-PARTEDO IPI-MUNICÍPIOS | 25.000,00 | 26.250,00 | 27.500,00 | 28.750,00 | 107.500,00 |
| 1721.53.0.0.00 1723.50.0.0.00 | COTA-PARTE CONTRIBUIÇÃO INTERVENÇÃO DOMÍNIOECONÔM ICO | 98.000,00 | 102.900,00 |",0,False,"[084c3cc41617b03fd8c3965d4810a851] 1719.60.0.0.00 | ENTIDADES | | | | | |
| 1719.99.0.0.00 1721.50.0.0.00 | OUTRASTRANSF.RECURSOS UNIÃO COTA-PARTE DO ICMS | 1.200.000,00 15.700.000,00 | 1.260.000,00 16.485.000,00 | 1.320.000,00 17.270.000,00 | 1.380.000,00 18.055.000,00 | 5.160.000,00 67.510.000,00 |
| 1721.51.0.0.00 | COTA-PARTEDO IPVA | 1.900.000,00 | 1.995.000,00 | 2.090.000,00 | 2.185.000,00 | 8.170.000,00 |
| 1721.52.0.0.00 | COTA-PARTEDO IPI-MUNICÍPIOS | 25.000,00 | 26.250,00 | 27.500,00 | 28.750,00 | 107.500,00 |
| 1721.53.0.0.00 1723.50.0.0.00 | COTA-PARTE CONTRIBUIÇÃO INTERVENÇÃO DOMÍNIOECONÔM ICO | 98.000,00 | 102.900,00 |",0,False
2,factual,Qual é a data de assinatura do documento?,الطائفي,0,[self7333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5,False,[self7333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5,False
3,factual,Qual é o nome da divisão responsável pela gestão de imóveis na Diretoria de Investimentos?,الطائف,0,[726feb24806615335122ed7acfc16d1c],5,False,[726feb24806615335122ed7acfc16d1c],5,False
4,factual,Qual é o número da portaria que institui a Comissão Especial para discutir a resolução normativa que regula a oferta da Educação Infantil?,⋅ 100,0,[fd8a19836f0173f1789946e82c5f0911],0,False,[fd8a19836f0173f1789946e82c5f0911],0,False
5,factual,Qual o nome da pessoa nomeada para o cargo de Chefe do Setor Geral de Controle e Distribuicao?,⋅,5,"[16b8d135f9565aaabf1469011155cc00] atividades serao exercidas na forma e nos limites da Lei.
Lei.
2. Os direitos e deveres do nomeado obedecerao a legislacao Municipal.
3. Esta Portaria entra em vigor na data de sua publicacao, com efeitos retroativos a 01.08.2025, revogadas as disposicoes em contrario.
3.Esta Portaria entra em vigor na data de sua publicacao, com efeito retroativo a 01.08.2025., revogadas as disposigoes em contrario.
Cumpra-se e publica-se.
Redencao do Gurgueia - PI, em 15 de agosto de 2025.
ARLEI FIGUEIREDO Asinadode foemo
ARLEI FIGUEIREDOAssinade de
303
Arlei Figueredo Borges
Prefeito Municipal
Prefeito Municipal

[16b8d135f9565aaabf1469011155cc00] atividades serao exercidas na forma e nos limites da Lei.
Lei.
2. Os direitos e deveres do nomeado obedecerao a legislacao Municipal.
3. Esta Portaria entra em vigor na data de sua publicacao, com efeitos retroativos a 01.08.2025, revogadas as disposicoes em contrario.
3.Esta Portaria entra em vigor na data de sua publicacao, com efeito retroativo a 01.08.2025., revogadas as disposigoes em contrario.
Cumpra-se e publica-se.
Redencao do Gurgueia - PI, em 15 de agosto de 2025.
ARLEI FIGUEIREDO Asinadode foemo
ARLEI FIGUEIREDOAssinade de
303
Arlei Figueredo Borges
Prefeito Municipal
Prefeito Municipal

[16b8d135f9565aaabf1469011155cc00] atividades serao exercidas na forma e nos limit",0,False,"__[16b8d135f9565aaabf1469011155cc00] atividades serao exercidas na forma e nos limites da Lei.
Lei.
2. Os direitos e deveres do nomeado obedecerao a legislacao Municipal.
3. Esta Portaria entra em vigor na data de sua publicacao, com efeitos retroativos a 01.08.2025., revogadas
as disposigoes em contrario.
as disposicoes em contrario.
Cumpra-se e publica-se.
Redencao do Gurgueia - PI, em 11 de marco de 2025.
Redencao do Gurgueia - PI, em 11 de margo de 2025.
ARLEI FIGUEIREDO
digital por
Arlei Figueredo Borges
Prefeito Municipal
Prefeito Municipal

[16b8d135f9565aaabf1469011155cc00] atividades serao exercidas na forma e nos limites da Lei.
Lei.
2. Os direitos e deveres do nomeado obedecerao a legislagao Municipal.
3. Esta Portaria entra em vigor na data de sua publicacao, com efeitos retroativos a 03.03.2025., revogadas
as disposigoes em contrario.
as disposicoes em contrario.
Cumpra-se e publica-se.
Redencao do Gurgueia - PI, em 11 de marco de 2025.
Redencao do Gurgueia - PI, em 11 de margo de 2025.
ARLEI FIGUEIREDO
digital por
Arlei Figueredo Borges
Prefeito Municipal
Prefeito Municipal

Gabinete DO
REDENCAO DO
Gabinete dO
PREFEITO
PREFEITO
Portaria n 144 de 13 de marco de 2025
Portaria n 142 de 11 de margo de 2025
ARLEI FIGUEREDO BORGES,PREFEITO Municipal DE REDENCAO DO
GURGUEIA",2,False
6,factual,Qual foi o dia da realização da audiência pública em Porto Alegre do Piauí?,الطائف,0,"[]{""0fc8abb4c7bada717874ac8600c82c4a""}",0,False,"[]{""28 de maio de 2025""}",5,False
7,factual,Qual o CNPJ da empresa CONSULTORIA CONTABIL LTDA?,.linkedin,0,"[5022c81f914f31583d4e131b06ca78e4] A, pessoa juridica de direito privado inscrita no
REMiGIO ADvOGADOs AssOcIADOs, pessoa juridica de direito privado inscrita no.
CNPJ sob n 22.737.795/0001-64. Inscricao Municipal no 0.234.214/001-5, situada na
CNPJ sob no 59.445.614/0001-20, Inscricao na OAB-MG no 18.807-25, situada na
Rua Juiz de Fora, n 284, Sala 1102, Bairro Barro Preto, Belo Horizonte/MG, CEP:
Rua Juiz de Fora, 284, sala 1102, Barro Preto, Belo Horizonte (MG), CEP 30.180.060.
30.180-060. Objeto: EXECUCAO DOS SERVICOS DESTINADOS A RECUPERACAO DE
EXECUCAO DOS SERVICOS DE ADVOCACIA DESTINADA
(I) CONTRIBUICOES PREVIDENCIAS PAGAS A MAIOR PELO Município, RELATIVAS
Objeto:
AO RAT-FAP E AO SALARIO MATERNIDADE. O PRODUTO FINAL DOS SERVICOS E (A)
RECUPERACAO DE CREDITOS DE FUNDO DE PARTICIPACAO DOS
A OBTENCAO DE CREDITOS PREVIDENCIARIOS APTOS A SEREM UTILIZADOS COMO
MUNICiPIOS. Valor Contratado: A CONTRATANTE Pagara a CONTRATADA, no que
PAGAMENTO DAS CONTRIBUICOES PREVIDENCIARIAS FUTURAS. Valor Contratado:
tange aos servicos prestados, o percentual de 20% (Vinte porcento) do montante
A CONTRATANTE Pagara a CONTRATADA, no que tange aos serv",0,False,"[]{""CNPJ: 23.221.481/0001-60""}",5,False
8,factual,"Qual é o artigo da Lei nº 14.133, de 2021, mencionado no trecho?",الطائفي,0,الطائف,0,False,الطائف,0,False
9,factual,Qual o número do ato da manutenção da Secretaria de Cultura?,الطائف,0,[084c3cc41617b03fd8c3965d4810a851],0,False,[ad0bd57050d8183ab61ab9a0acb59c11],0,False
10,factual,Qual é o código da categoria econômica relacionada às despesas correntes de pessoal e encargos sociais?,⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ ⚙ �,0,[ad0bd57050d8183ab61ab9a0acb59c11],0,False,[ad0bd57050d8183ab61ab9a0acb59c11],0,False
11,factual,Qual é o nome do Presidente do Instituto de Previdência dos Servidores do Município de Teresina - IPMT?,⋅,5,"[726feb24806615335122ed7acfc16d1c] PORTARIA Nº 022/2025 - PREV/IPMT. O PRESIDENTE DO INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO MUNICÍPIO DE TERESINA, Estado do Piauí, no uso das atribuições que lhe confere o art. 1º eo art. 2º, §§ 1º ao 4º, todos do Decreto Municipal Nº 23.774, de 10 de Março de 2023; tendo em vista o que consta do Processo nº 2024.07.12477P, RESOLVE por motivo do falecimento, em 11/04/2024, de GENTIL FERREIRA LIMA, servidor público municipal, exercia o cargo de Auxiliar Operacional Administrativo, especialidade Motorista, referência 'C6', matrícula nº 028386, CPF: 337.948.123-87, lotado, quando em atividade, na Fundação Municipal de Saúde - FMS, conceder pensão a MARIA APARECIDA DE MIRANDA PIRES, CPF 566.019.483-49, e FELIPE MIRANDA PIRES FERREIRA cônjuge e filho, respectivamente, nos termos do artigos 12, Ie III, 15, 16, 17, I, 20, III, 21, II, 'f', c/c artigo 6º, § 4º, todos da Lei Municipal nº 5.686/2021, c/c artigo 114, II do Decreto Federal nº 3.048/1999 com redação do Decreto nº 10.410/2020, devendo o referido benefício ser concedido a partir da data do óbito, cabíveis as devidas compensações financeiras, se houver.",0,False,[726feb24806615335122ed7acfc16d1c] lo.,0,False
12,factual,Qual o valor da remuneração OE para o cargo 1.621.0?,⋅ 1.621.0,0,"[]{""78e49f529a6feebddd7670ae5b07a635""}",0,False,"[78e49f529a6feebddd7670ae5b07a635] 1.621.0 | 2.000,00 | 6.668,66 1.04!5,90 | 6.666,66 1 .045,90 | 6.666,66 754,59 | 13.33:l,32 l 1.800,49; | 199,!51: | 80.000.00 2.000,00 | ! 0,00; | 2.000,00 | 6.666,66 0,00 | l :l:l.3:13,30 ; 2.000,00; | l 6.666,70 l 0,00 ; | ' 40.ooo,oo; 2.000.00; |",2,False
13,factual,"Qual o valor da despesa com 'CONSTRUÇÃO, AMPLIAÇÃO E REFORMA DA EDUCAÇÃO' no exercício de 2026?","⋅ 1.000.000,00",0,[1aac1fb884d33a46c57b49ac67c45990],0,False,[1aac1fb884d33a46c57b49ac67c45990],0,False
14,factual,Qual o valor total do item 2 do trecho?,الطائف,0,"[]{""1aac1fb884d33a46c57b49ac67c45990""} 1.500,00 | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |",0,False,"[]{""1aac1fb884d33a46c57b49ac67c45990""}",0,False
15,factual,Qual é o valor da subfunção 271 Previdência IIaica em 2028?,⋅,0,⋅A DEFINIR⋅ medida,0,False,⋅A DEFINIR⋅ medida,0,False
