model,id,n_tokens,doc_ppl
base,a8a104305d4232fef50b18c8e27bc31c,1023,6.7593
base,3d085fda8b8e96139df27aaee0e82e55,1023,3.5877
base,3d6a4e6ed9a79fc5729798e4fecc0db5,1023,9.2971
base,60e4080ffd659a62b34c47cd67cbbf84,161,8.545
base,aaa1431f9b06c80763a3c9c11b8684af,1023,13.1313
base,2814b4b3bd36f77aaca17f138f588866,1023,4.9625
base,ae29c8abd0f2b1f05a212cbf410f3a6d,1023,5.1373
base,764dc5f9a389b5831f02b51737c61b97,1023,4.3059
base,230d89b0a09f200d017393dda6f6aa20,1023,8.6009
base,ad8148e98416777682dbfbb0f7c1719b,1023,9.6693
base,8b45aabe396e78a90260740684ef7e2c,1023,6.5663
base,2fce06caec6a5c5ba7cd4c8ef65a0105,1023,4.3403
base,e21a4c5d156d5c17caad722930836eff,1023,15.0056
base,feaadd69576f9a0d8b20983db913671f,1023,11.9571
base,213164ca1db758478c069b507ca2be7b,519,5.9504
base,77c2aad3463eafd3cdf169e5932214c0,1023,3.3706
base,cab6cddbd2984c216eaa52affeed0ea5,1023,6.3836
base,ea3156cd04b51c8dec047ded8c0bfb76,1023,3.9416
base,86e16dba73d128fe7ef7c7cb9624be45,1023,2.599
base,d866e081637ff5eee7527729dcfb9ba7,1023,3.5055
base,6bfa80875bf05127449e2e598b8d2d12,1023,11.9629
base,39d369b6485b8dd800d282c2ab4bbb4e,1023,9.1578
base,ed2228d9cc76c05c5f0f5cfae82cd636,1023,10.1744
base,0ce1910a8fa721b5d9634398099307ff,1023,3.6173
base,86e097a2a0cac4d340ef205acede26c8,1023,11.5174
base,95ab49dcc6c1df064becb7c11d139db6,1023,12.7244
base,06e8bb0729c08484b5668234d51ffae1,1023,7.0931
base,a606586be34f7c2b525e57a929bcfb1a,1023,7.1944
base,2c758c76da8efa01dde8aa3f374e37a9,1023,6.9744
base,0c271d97bd42b042efa8f7129f29677d,1023,5.9417
base,d1a5326efed26d75ce02e6bcb1d02a7d,1023,6.4142
base,c965caefb828b4772141e2e9ac35e49b,1023,5.5233
base,ea8e346b2141d51c6dec3af9cdb40060,1023,7.0477
base,f05512f10ae880a9b65f7fb161cbdfd6,972,5.3
base,678d002fd0a167d16ba1baa90b9ff8f5,353,6.7943
base,ca4b97015e7c8f52d9f45cd897dc4e0c,493,10.8533
base,ec42d6e4769362003b4c51b2c77db053,1023,3.5311
base,ef2462f2c3a7e2d1b8b2776dcef4cc93,730,3.9974
base,107927b4f183de1c50e337bdf0dd3e19,1023,7.8827
base,19124aa52057551321ac1b879dfe2bb4,1023,5.9639
base,cd64ce40b87eeaf480bcf9734b8eee2f,796,7.5416
base,bc84b05f6f366e36021771d57187bd4c,1023,8.905
base,c012c2a1228a44059750030f3cedf50c,1023,9.8593
base,f9c66891c73a1a6850546540e5c60114,1023,6.7299
base,4664ee924a469a7388e970daf11a708f,1023,2.4521
base,067867a1c6ec5dbe6e6b6f225c628db9,369,6.5252
base,726ec0838466c34a690b47334ad90c3b,1023,6.5138
base,29aaf8b532efb835c7d8d22121695426,1023,7.5338
base,46d2f48f60cda28117db9590396959ba,1023,9.2354
base,fc0f29086c476c6c14899c5cd5b34693,1023,7.033
base,3b154c198ddbde278f18ba02a5e10175,1023,12.0777
base,7a80037de47e09d970ee68881493e4c2,1023,3.7064
base,90b1766648cccf0086bad24c8ea10c40,1023,6.4929
base,420a73d97e91e142694f6413a7d3150d,319,5.9533
base,6eec3539f7395d38cf96f0498e864814,200,13.4925
base,9db0f61bfa383ee439935edb6b3978cb,1023,5.7251
base,4cd4420c535d3535bd0921bb45f999ed,1023,8.443
base,798a20231754cb9fcb3b540d3b08632f,1023,9.3955
base,01c57660221d4310192f9016484f0d5d,1023,8.1473
base,625a02ea567522abc90c055c20b12c15,1023,10.9855
base,2ac1ab51dc7be89430b66656542d74f3,1023,9.9324
base,1a92847e7c740733a4fe3da0b1d93f7f,769,7.899
base,0b23e15fbce6a9b626d45bf4651b6f99,1023,9.8386
base,d584b054d85893bfcf40a3768de8e5ae,1023,3.9
base,0648380a3a581a6a17df28c4f80b9b6b,1023,11.5371
base,c2b947c056f95f11cc1b37913ea59acf,1023,20.8325
base,a41fceda78f889e71606bb94b9ea3521,1023,6.8165
base,e8b9ef0dd821e5354e818c9b734d5c58,1023,7.1109
base,4f731a4e1181b627dc34a2f960fcfec3,1017,5.7038
base,5097a31712e050d9b7587dc243102e66,1023,14.2411
base,b322ba0b46ef1711e67c45180e32d6e9,1023,9.4893
base,5e805d2f25e48e4ffffd0ef30c729e86,1023,7.1893
base,4621580c94f0452fabd7528f1a3cda31,1023,7.7705
base,f4d13ca73eb032f6df719bfa320b43bd,1023,6.8069
base,811de92395703acadf942fb29a7d5c12,1023,5.7498
base,ff5222f1bb28adea9441a0b3525bdfd8,1023,5.9603
base,002db6604f1843470dde2c4d21d6f799,1023,19.728
base,0158be4aafa8c2dfc87d290a04febfef,1023,4.2587
base,d1ce9e84ae2655220ee4293b8199cfc0,1023,6.2677
base,7a5ec055a7f449673a8363dba1a07da4,1023,9.1295
base,72b8ffd088f1f422edc54192974d142b,1023,9.6815
base,c18fea0535876c6ac2620b146d5f6291,1023,8.562
base,67d3e5f043aca9e54af5c5566e65d316,1023,6.2129
base,7c3d0d111d2860d6af821a99d80b3693,1023,44.4502
base,d939b01794c0979e6c3ea3dddf5e17cf,1023,5.8288
base,2f697fcc7752a44600a91998fe8a3a01,1023,3.7825
base,90ed936690048975035f2e582cfb36b0,737,6.0871
base,5713ad83cc10a67a51245f1afb9f9820,1023,4.2559
base,c676843de4161dd3226263afba2f7fad,1023,12.3674
base,0e735ed16b96fb1077d9292f98bd9d08,1023,7.463
base,7513d5ce813578039cbaf7510e83d19e,137,12.5367
base,68cee526c2fd690aa585d5d9f638f71f,1023,5.4377
base,fd5fcb46de3754e6c299814ee0d048ff,1023,16.2721
base,f94e8e5c0eb8a4abd8c5f611bff53e61,1023,5.392
base,4bca7c7faa398103efe1e437c0a1829d,513,10.6547
base,a406a0a8fafa7687610310ebf4d97d0c,1023,9.5518
base,a39c6076700685845ac8053e3b027efa,1023,9.4876
base,60fac36954c68b98a8f01591c1e97c4e,1023,9.8316
base,a23db5858d02afd19589a87b1069c2e7,1023,3.7243
base,0a84248ea889043e065524939ab9edc5,1023,6.1649
base,0f9a8b41bd685940072c72bf7f09481d,1023,2.7207
base,510f94028be0811d4afd40b07435e16e,1023,4.1006
base,a8ac5e3794f5f465ab6a1593fdffb0d4,1023,7.2403
base,3e0d8438c42b3805f550a9ae472ff23d,1023,10.085
base,44f08d6d1f49c5ab1107117be45a5147,1023,10.9272
base,c67448b7d33767abb04f2c290b4697cd,1023,8.2708
base,3d9c9fc9c9e69f2d74b05c63ff12a347,1023,9.8746
base,aadf44dc723d9e29e42015fca4fa62ae,1023,12.656
base,bb945d7518c45e159e52ac4a2bf3b64f,1023,4.1375
base,470ffde2a7373919d11fcbdf5f9fb32a,1023,3.6218
base,2418ce74bf9e0f1f0a3c2e374c71f96c,1023,13.3088
base,921fe5f12704b41704c7fbb7da55a1c2,1023,4.5178
base,1dd976fb9922568a65c3ed53eb14d85a,1023,8.9299
base,525e167502f622e0a37776243c26b96d,443,4.7764
base,c85e827522be94affd69f92143b5bf40,374,14.354
base,2a36d912c4d7b26ee4080a9f10554536,1023,5.7504
base,c9ca5800a2f2abbc870d53f82de38fb4,517,6.4009
base,114dc73caf4bf3cf2e8294c1cea5e501,1023,11.1114
base,4c17d12bb4864c561dbe518d5b79be0d,1023,8.8972
base,f239db7688455adb991d4bd3bf6991d8,525,6.2096
base,9008e81fa58621f874f18718c25617b4,994,7.1
base,86f6ec9300329f5df5978efab807f292,1023,13.6849
base,5125922f82619d47bf561aa70be6dc29,1023,10.2974
base,b57227211eba9d6b37db2137f579e5d0,1023,3.2761
base,d9faaf9504dac419f93d407d7c03cc81,1023,6.7194
base,7c2ddf8d7431928a60f2df2f328976f4,1023,7.0166
base,ddf01f0b9aad4b8e2a200a10a6dfead8,1023,13.5465
base,07ba5d939e300bf7d188107c65989bd3,1023,3.1898
base,250dc861c1c544522a2cdf3008eadce6,1023,8.5358
base,440bcf3e181ef112ddb70622dfd753fb,1023,7.0203
base,cc4dab4e27480a4cf275f25e2695620c,652,5.411
base,a4b07e003c0734b7b36f07d79b256c46,1023,10.4214
base,102eef6dd968c77b3fced44b91fc9245,1023,11.0753
base,f17aa5e01311ee73f39b3852f25f1d2a,1023,10.8274
base,98433cb1af6526dc9fe9f871a2dbb697,1023,7.5649
base,02c69ae369f8fe9a78d0605458083658,1023,6.6096
base,4924ab856d3a36fa9cf382fd7346bf8a,1023,3.4243
base,3c45d3c67707792d87215a2a4b0e190a,1023,5.1007
base,de795600808b8d8bc860f4c5b1352355,1023,10.6338
base,a0fb203fcbb2e4144b4ccd768fb81182,1023,7.9258
base,40d1e7ecbc6fa35aaa90461bc8a47406,1023,12.0076
base,a54d08ad5746f5f9bda21a76a214c7c2,1023,22.8792
base,12ed8f047f3d76780f3c18f302ba135d,1023,3.6099
base,8a78a12c44b2ad1909cbb4a0aa0202ac,1023,4.7203
base,4b628daa0ea097f4a6f9c39fe7479846,1023,11.5012
base,2405bd90ac89065db607325959ba1f56,1023,5.7844
base,93761409cce2b4fb94f400bcb11492a8,1023,5.3238
base,801c4cba1480e9b53a2aacaa2cf177ea,381,6.3072
base,6381bdaa845a59efb03ca35f3b8c8b96,1023,6.2913
base,cbe1d53905e76d7bf7aca908f48f13b7,1023,9.3271
base,e172b60b2ee0ab8aa4fa2469ec0e9bdd,1023,8.947
base,2b062e382f16d234f058df51a11b70c7,1023,3.1251
base,03181041502e9356d6f3936792a6dc25,414,6.7857
base,565e746c266ea933bf369a34d975710d,288,5.1047
base,3e00850accae9ebbacef6ac12ad6f709,395,5.3676
base,c0cc1513bd54931431408c1147f1a77e,1023,6.5356
base,439909fd5c818e96611e7b62bcb1ac83,1023,12.2444
base,4f241015e6ebd7bf971e7815d613e1d3,1023,14.6571
base,aec4d4cd214bbe3ea2bab83a99a7b0e8,1023,11.2965
base,3ac2efe4adaa471d8fb9af1253341a13,1023,7.5448
base,faef89e533142524ec29b6e2b1aa02ef,1023,4.0996
base,827e4b67cbfdff39ad5f80bc4815c3fb,1023,9.3332
base,f514006f021290d74c800fb54564e054,908,5.6276
base,e5d2fd2199377045ce2ac2aa66253d8c,1023,4.012
base,73b208dd133257627130648b2953de53,1023,13.0412
base,166bf3e7181c10570f8e56dbf8db5831,1023,9.5637
base,49fa30957820cc11fb4b0669b2dd47ee,1023,8.1296
base,402748974a764f9c6a914bb28508451c,1023,6.6134
base,12ae9ecdaba85aa5da8a137fe5c8f441,1023,10.7163
base,5a4b2e34681d0a6d180c0cbf842e93aa,245,11.3742
base,76b508b05c7a9f7ddbb95abf4c2c1af4,1023,4.9511
base,c835824758565fbd5e2fc9886298be69,869,5.0499
base,7ca6a7f8a28d701609ca92d37603a59c,1023,3.6091
base,5738305d48a401fc0414c807b1ecdbd5,1023,11.5074
base,272f83b7283bfd7b26bd769c16bc0b7e,1023,15.9395
base,76a3d9a3288aab4f8167c6455005fa17,1023,6.8035
base,0b8084085d191eec232c272ca71c08c9,1023,10.4481
base,6259e6ef9c45d7b396b811665e426ff1,1023,5.3011
base,9a711fffcccab1df5ee0881273a02fc1,1023,9.2939
base,0050ec8c02466fa442c4c71049b7fc12,1023,6.0161
base,96addb8bf536f15a1c849f250ce7d662,1023,3.3559
base,00064d3122e841a290c9c34a7c8caf1a,1023,10.9898
base,04a972a0c75ec43ab6537cc663e8c643,1023,12.5354
base,d6ac927efd9aa241b4ab382dd3e5ff77,1023,4.6738
base,3d95f73b917467bd904d2060632cb697,1023,6.0509
base,cec0e4e6560a71e9b48c1c2711bd8b2c,1023,7.5553
base,5f3df74930a9822f451b4d506b103cf6,1023,4.2514
base,fd433a5ddbeff0aa5ad0235312bf66eb,1023,12.491
base,3a4fc5bcd0da7a8b70d9bcf3e611f06d,1023,10.013
base,d1814ae270ab9a81c99362bbc3dd0a22,1023,4.9962
base,b15974f0bc4cee016e77232ca035949f,1023,5.2884
base,5829fdf15cde2524f1cbeea1d3869ec1,1023,8.6584
base,1e9c26fd46b5842445ab5e63c994d2dc,361,8.0939
base,1546fa7b5f58b4597f41a02278ef74f5,1023,4.2011
base,2ff0a70be5a74a14f3db38afbe51480a,1023,4.3712
base,5c97488b5eaaef6b8847dd3b3367c45a,1023,9.9347
base,5b8631fed7f00630e0e9fee9166727a2,854,4.6702
base,c0d694dd860b238a577050d472fcf015,431,8.2482
base,0c3fb0f2387d88bc3d7c15e5f736f10d,1023,3.5069
base,490683886b4762b0bf7c695d73447c8a,232,8.4624
base,f9576636054e5088e5d9731188710f44,924,5.5968
base,8a7f7e00ef8d510794df3fa9ee9b2835,370,17.9018
base,a3113f1cfce3bf8f754c83c2aaace584,1023,13.0214
base,26ab4065fcfdb3fb43b6bb4c258b9d83,1023,13.5378
base,b1363929f3f0b4448108b2a1736b4a35,1023,5.3735
base,bb597cd9670729eefd34fc3f58d61c00,1023,17.0834
base,79089143c72f167f39f8f8ec80cf23d8,1023,22.2841
base,f97b5965ba62964d347751682aaf1330,1023,6.2771
base,673dd5ef225f7ca6108e66768fba8884,1023,12.1778
base,e7df538435a2d466043ac02eaeb3374f,1023,13.8977
base,6ff5940ec4a4f9818f5afd7ce419f20e,1023,3.3611
base,a9acf48b25e170adbcffc837642c11f8,366,8.1769
base,3e69277860579163cec842c94c33f818,1023,8.3541
base,3dab55c26d5903c789730b7be342491b,1023,7.495
base,40c4e3abb35a065b1fae9f73f643114a,1023,6.1283
base,06a146bec4eb08cc76f7595d8ce13ff7,371,4.7772
base,898a7a522c1f2475b23d4cb8ff8a7f26,1023,10.3691
base,9275c0b64252451e5e5396ca2e9b1af8,1023,8.7047
base,fe127aff0da20623203254651749131d,1023,7.4276
base,18d43e8853139cc1ec6111b6d8fff287,1023,9.0535
base,ed3f36d97d6b91a63c3278946467770f,1023,9.0052
base,d48413dd1e2dc622a83c9046f7146e0b,349,7.0585
