idx,type,question,answer_baseline,score_baseline,answer_standard,score_standard,corrected_standard,answer_agentic_graph,score_agentic_graph,corrected_agentic_graph
0,factual,Qual é o artigo que trata da possibilidade de adjudicação quando a negociação de melhor condição frustra-se?,"O artigo que trata da possibilidade de adjudicação quando a negociação de melhor condição frustra-se é o **Artigo 78, § 4º, da Lei nº 8.666/93 (Lei de Licitações e Contratos Administrativos)**.

Este artigo permite que a Administração Pública adjudique a licitação ao segundo classificado, desde que este se manifeste no sentido de aceitar o preço ofertado pelo primeiro, caso a negociação com o primeiro classificado para obtenção de melhor condição seja infrutífera.",4,2.12.2 e 3.12.2 e 5.12.2.,3,False,"2.12.2, 3.12.2 e 5.12.2.",3,False
1,factual,"Qual o número do ato que corresponde à transferência de 10.000,00 para a TRANSF.ALDIR BLANC LEI N?","Não é possível determinar o número do ato correspondente à transferência de 10.000,00 para TRANSF.ALDIR BLANC LEI N sem acesso a registros bancários ou informações adicionais sobre a transação. Essa informação é específica da instituição financeira e do contexto da transferência.",0,Não há informação suficiente.,2,False,Não há informação suficiente.,2,True
2,factual,Qual é a data de assinatura do documento?,"Para responder, preciso do documento. Por favor, forneça o documento ou o texto relevante.",0,"Há múltiplas datas de assinatura nos documentos fornecidos: 28 de agosto de 2025, 26 de setembro de 2025, 28 de fevereiro de 2025, 03 de novembro de 2025 e 28 de maio de 2025.",2,False,"Há múltiplas datas de assinatura nos documentos fornecidos: 28 de agosto de 2025, 26 de setembro de 2025, 28 de fevereiro de 2025, 03 de novembro de 2025 e 28 de maio de 2025.",2,False
3,factual,Qual é o nome da divisão responsável pela gestão de imóveis na Diretoria de Investimentos?,A divisão responsável pela gestão de imóveis na Diretoria de Investimentos é a **Divisão de Gestão de Imóveis (DIVIM)**.,4,Assessoria de Gestão de Imóveis.,5,False,Assessoria de Gestão de Imóveis.,5,False
4,factual,Qual é o número da portaria que institui a Comissão Especial para discutir a resolução normativa que regula a oferta da Educação Infantil?,"A portaria que institui a Comissão Especial para discutir a resolução normativa que regula a oferta da Educação Infantil é a **Portaria MEC nº 1.264, de 29 de junho de 2023**.",0,A Portaria Nº 004/2023/CME/SEMEC institui a Comissão Especial.,5,False,Nº 004/2023/CME/SEMEC.,5,False
5,factual,Qual o nome da pessoa nomeada para o cargo de Chefe do Setor Geral de Controle e Distribuicao?,O nome da pessoa nomeada para o cargo de Chefe do Setor Geral de Controle e Distribuição é o Coronel Ricardo Rocha.,0,FRANCISCO JOSE RIBEIRO.,5,False,FRANCISCO JOSE RIBEIRO.,5,False
6,factual,Qual foi o dia da realização da audiência pública em Porto Alegre do Piauí?,A audiência pública em Porto Alegre do Piauí foi realizada no dia **17 de maio de 2024**.,0,28 de maio de 2025.,5,False,28 de maio de 2025.,5,False
7,factual,Qual o CNPJ da empresa CONSULTORIA CONTABIL LTDA?,Não tenho acesso a informações privadas como números de CNPJ. Essa informação pode ser encontrada publicamente em sites como o da Receita Federal do Brasil ou plataformas de consulta de CNPJ.,2,23.221.481/0001-60.,5,False,23.221.481/0001-60.,5,False
8,factual,"Qual é o artigo da Lei nº 14.133, de 2021, mencionado no trecho?",O artigo da Lei nº 14.133/2021 mencionado no trecho é o **artigo 74**.,0,"Artigo 74, inciso II.",0,False,"Artigo 74, inciso II.",0,False
9,factual,Qual o número do ato da manutenção da Secretaria de Cultura?,O número do ato da manutenção da Secretaria de Cultura é o **Ato nº 14/2024**.,0,13.392.0013.2022.0000,5,False,13.392.0013.2022.0000,5,False
10,factual,Qual é o código da categoria econômica relacionada às despesas correntes de pessoal e encargos sociais?,O código da categoria econômica para despesas correntes de pessoal e encargos sociais é **1.0.00.00.00**.,0,3.1.00.00,0,False,3. 0. 00.00.,0,False
11,factual,Qual é o nome do Presidente do Instituto de Previdência dos Servidores do Município de Teresina - IPMT?,O Presidente do Instituto de Previdência dos Servidores do Município de Teresina - IPMT é **José Wilson de Sousa**.,0,José João de Magalhães Braga Júnior.,5,False,José João de Magalhães Braga Júnior.,5,False
12,factual,Qual o valor da remuneração OE para o cargo 1.621.0?,"O valor da remuneração OE (Organização e Estatutos) para o cargo 1.621.0 (Técnico de Laboratório - Nível 1) é de **R$ 1.968,83** (valor base).

É importante notar que este valor pode ser acrescido de adicionais e gratificações, dependendo do regime de trabalho e outras condições específicas do servidor.",4,"2.000,00.",5,False,"2.000,00.",5,False
13,factual,"Qual o valor da despesa com 'CONSTRUÇÃO, AMPLIAÇÃO E REFORMA DA EDUCAÇÃO' no exercício de 2026?","De acordo com o Projeto de Lei Orçamentária Anual (PLOA) de 2026, a despesa com ""CONSTRUÇÃO, AMPLIAÇÃO E REFORMA DA EDUCAÇÃO"" é de **R$ 7.144.400.000,00** (sete bilhões, cento e quarenta e quatro milhões e quatrocentos mil reais).",0,"20.000,00.",0,False,"20.000,00.",0,False
14,factual,Qual o valor total do item 2 do trecho?,"Por favor, forneça o trecho para que eu possa identificar o item 2 e calcular seu valor total.",0,Não há informação suficiente.,2,False,"1.500,00.",0,True
15,factual,Qual é o valor da subfunção 271 Previdência IIaica em 2028?,"O valor da subfunção 271 Previdência IIaica em 2028 é de R$ 1.141.791.700,00 (um bilhão, cento e quarenta e um milhões, setecentos e noventa e um mil e setecentos reais).",0,"2.819.800,00.",2,False,"2.819.800,00.",2,False
16,factual,Qual o CNPJ da PM de Boqueirão do Piauí?,"O CNPJ da Polícia Militar do Piauí, incluindo a unidade de Boqueirão do Piauí, é: **13.844.686/0001-87**.

É importante notar que este é o CNPJ da sede da PMPI, e cada unidade pode ter variações ou não possuir CNPJ próprio.",0,01612566/0001-37.,5,False,01612566/0001-37.,5,False
17,factual,Qual o valor final do fornecedor ADRIANO R SOARES LTOA no bloco 0005?,"O valor final do fornecedor ADRIANO R SOARES LTOA no bloco 0005 é de R$ 1.188,00.",0,"11,12.",5,False,"11,12.",5,False
18,multihop,Qual é a secretaria responsável pela gestão de finanças do Fundo Municipal de Saúde?,A Secretaria Municipal de Saúde é a responsável pela gestão de finanças do Fundo Municipal de Saúde.,0,Não há informação suficiente.,2,False,Não há informação suficiente.,2,True
19,multihop,Qual documento foi aberto pelo secretário municipal de planejamento e coordenação após a delegação recebida pelo prefeito municipal de Teresina?,O secretário municipal de planejamento e coordenação de Teresina abriu um **processo administrativo** após a delegação recebida do prefeito municipal.,2,Não há informação suficiente.,2,False,"PORTARIA Nº 790, de 12 de dezembro de 2025, que abre Crédito Suplementar no Orçamento-Programa vigente.",5,False
20,multihop,Qual é a secretaria municipal de educação que recebeu a comunicação sobre a portaria emitida pelo Pajeu do Piauí?,"A Secretaria Municipal de Educação de Picos, Piauí, foi a que recebeu a comunicação sobre a portaria emitida pelo Pajeu (Programa de Apoio à Educação Universal).",5,"Não há informação suficiente. O contexto menciona a Prefeitura Municipal de Pajeu do Piauí, mas não especifica qual secretaria municipal de educação recebeu alguma comunicação.",3,False,Não há informação suficiente.,2,True
21,multihop,Quem foi nomeado pelo órgão que pertence à Prefeitura Municipal de Pajeu do Piauí e é responsável pela Assistência Social e Cidadania?,Maria do Socorro Ferreira foi nomeada pela Secretaria Municipal de Assistência Social e Cidadania da Prefeitura Municipal de Pajeu do Piauí.,5,IZABEL ANTUNES DOS SANTOS foi nomeada Chefe de Divisão da Secretaria Municipal de Assistência Social e Cidadania.,4,False,Izabel Antunes dos Santos.,0,False
22,multihop,Qual secretaria municipal possui a Secretaria Municipal de Assistência Social e Cidadania?,A Secretaria Municipal de Assistência Social e Cidadania está vinculada à **Prefeitura Municipal**.,2,Não há informação suficiente.,2,False,A Secretaria Municipal de Assistência Social e Cidadania pertence à Prefeitura Municipal de Pajeu do Piauí.,0,True
23,multihop,Qual secretaria pertence ao poder executivo e está relacionada à secretaria de infra-estrutura e serviços urbanos por meio de um relacionamento de posse?,"A secretaria relacionada à Secretaria de Infraestrutura e Serviços Urbanos por um relacionamento de posse é a **Secretaria do Patrimônio da União**.

Isso ocorre porque a Secretaria de Infraestrutura e Serviços Urbanos frequentemente gerencia e utiliza bens e imóveis que são de posse da Secretaria do Patrimônio da União.",0,Não há informação suficiente.,2,False,Não há informação suficiente.,2,True
